source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
5.11192E+17,26.65867482,0.052914801,61.01824107,0.063873644,0.555913485,0.091742675,17.474916,1.6927185,,,NOT_AVAILABLE,,
5.11189E+17,26.7907158,0.197155314,61.02459458,0.236551646,0.530329696,0.326519687,19.051218,1.9711952,,,NOT_AVAILABLE,,
5.11202E+17,27.07655323,0.195464548,61.10755712,0.232379939,0.305909076,0.353566633,19.38531,2.132515,,,NOT_AVAILABLE,,
5.11191E+17,26.44029513,0.397248199,61.01751568,0.324236828,0.440100901,0.520110588,19.78869,,,,NOT_AVAILABLE,,
5.11184E+17,26.32399278,0.839725705,60.93176524,0.77318989,-1.017920354,1.059539314,20.852287,1.3150215,,,NOT_AVAILABLE,,
5.11187E+17,26.87379353,0.89216316,60.94553783,0.905804131,1.897151681,1.085945641,20.803467,1.6491566,,,NOT_AVAILABLE,,
5.11192E+17,26.60666502,0.470120318,61.02592902,0.577508683,0.040364806,0.843941855,20.021637,2.5535927,,,NOT_AVAILABLE,,
5.11191E+17,26.39335998,0.018778327,61.01920712,0.02277587,0.180559796,0.032513032,14.032815,2.5759249,-76.78311052,1.753498941,NOT_AVAILABLE,3654,2.076
5.11184E+17,26.31761419,0.422384825,60.94240319,0.436021579,0.550891553,0.645171277,20.301888,1.3965378,,,NOT_AVAILABLE,,
5.11189E+17,26.79252123,0.120038306,61.05002258,0.128668125,0.631881523,0.172107919,18.526167,1.7948399,,,NOT_AVAILABLE,,
5.112E+17,26.96245578,0.08047711,61.02035251,0.102911771,0.666000932,0.1392157,18.12348,1.6938686,,,NOT_AVAILABLE,,
5.1119E+17,26.55463837,0.754364006,61.04248559,0.734696548,0.618903921,1.079112386,20.782293,1.6292973,,,NOT_AVAILABLE,,
5.11209E+17,27.17847566,0.060849668,61.22835972,0.069632381,0.44219679,0.113149924,17.698843,1.6569328,,,NOT_AVAILABLE,,
