v20161021csv_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,missing20161021_oid,col1,col2
124,2.5409385817795366E-4,1635721458409799680,Gaia DR2 511216217653553664,511216217653553664,1680312152,2015.5,26.67726181556742,0.011767843494346336,61.164427218237236,0.01392690462025919,0.32164885602631804,0.019552235014675543,16.450747,-1.0469521646799764,0.020672425483388056,-0.12923224760945395,0.029338321598932418,-0.49236473,0.022791281,-0.5813313,0.37213677,0.0088255545,0.34009635,-0.3900825,0.08504587,-0.039767403,-0.6339195,526,86,522,4,-4.979239,372.31216,0.0,0.0,31,true,148.96823,1.5984538175187142,0.002897994427565676,-0.019434907,60,19,0.038045514,0,62,false,531,115315.68091740305,24.872797973878825,4636.217,13.033645,60,61298.70617660076,78.67972606648192,779.0915,13.38276,59,80443.03846217846,58.273827472151744,1380.4316,12.4981985,1.2291628,0,0.88456154,0.34911537,0.53544617,,,0,,,,NOT_AVAILABLE,129.54747689039962,-0.9953866502904922,51.773228903385224,45.85575325825505,100001,5550.283,5359.8003,5805.0,2.062,1.8237,2.2424,1.0342,0.952,1.137,200111,7.2379146,6.6166673,7.7615156,44.79012,37.929283,51.650955,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216217653553664,,132,26.67678,61.16453
125,2.2796093567473342E-4,1635721458409799680,Gaia DR2 511216213347654144,511216213347654144,818822740,2015.5,26.665727851112656,0.019814712713730052,61.16440479076051,0.022051665986090478,0.31162340356050444,0.031150243088612226,10.003883,-1.1244874341598048,0.03288619320436469,-0.25562883941389347,0.04402489815224205,-0.50688016,-0.14911924,-0.6415262,0.35018823,0.12986276,0.3386355,-0.38527855,0.17576365,-0.06411078,-0.61020625,500,491,494,6,5.973205,699.7488,0.0,0.0,31,false,316.04318,1.613556234519774,0.004486821943208606,-0.00677516,57,17,0.03685401,0,64,true,517,229356.60934950536,117.59857053629722,1950.335,12.287087,53,126026.57520251683,260.0768368065707,484.5744,12.600233,51,154528.59450130022,244.47770049740308,632.0764,11.789398,1.2232269,0,0.8108349,0.31314564,0.49768925,,,0,,,,NOT_AVAILABLE,129.54204508474393,-0.9965906911402945,51.7663437128675,45.85857309671697,100001,5964.25,5777.82,6343.0,,,,,,,200111,9.002358,7.9593678,9.592681,92.39122,77.69699,107.08545,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216213347654144,,133,26.66532,61.16452
126,1.686845312226069E-4,1635721458409799680,Gaia DR2 511216870488584320,511216870488584320,803983585,2015.5,26.639214157377495,0.013173964145965722,61.1639987504232,0.015363161982965091,0.2818389526461275,0.02222355622278274,12.681992,-1.116074012188949,0.02343451776985111,-0.3915177284830742,0.03250801248149397,-0.4809312,-0.041023728,-0.5780631,0.35951474,0.046845026,0.31796378,-0.35678902,0.09514106,-0.03528175,-0.6378444,497,131,496,1,-2.9715965,403.05756,0.0,0.0,31,true,150.30681,1.6051615520051108,0.003136242785932555,-0.035679195,57,19,0.03870615,0,60,true,507,116523.11695501428,34.752952072078536,3352.8984,13.022335,53,62987.62663805426,87.0117105625454,723.89825,13.3532505,52,79867.94528958756,73.60901743255666,1085.0294,12.505989,1.2259848,0,0.8472614,0.33091545,0.516346,,,0,,,,NOT_AVAILABLE,129.52963305939687,-0.999701243357829,51.750256504399694,45.86475204987791,100001,5582.0,4674.5,5822.607,1.606,1.3715,2.01,0.808,0.6973,1.015,200111,8.197505,7.5340137,11.689368,58.778355,48.08548,69.47123,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216870488584320,,134,26.63892,61.16409
127,2.2352244364613755E-4,1635721458409799680,Gaia DR2 511216110268439552,511216110268439552,107041789,2015.5,26.661179244278074,0.01706930585574041,61.16201869920434,0.018814354838693113,0.3370613389791321,0.021511170327552735,15.66913,-1.044845143121731,0.025823005641475383,-0.02079710303500261,0.03445625020368711,-0.7386249,0.09547424,-0.7664397,0.59907126,-0.09927804,0.600137,-0.58582664,-0.034622975,0.08501708,-0.74937105,465,0,463,2,-6.129932,295.8993,0.0,0.0,31,false,101.94032,1.6003861045196894,0.0032372248645622455,-0.012157261,53,17,0.05317536,0,59,false,483,79939.30834981892,11.519974501546532,6939.1914,13.431465,50,42860.07565234232,57.98828212161006,739.11615,13.7712555,47,55384.213879804665,36.96208081977902,1498.4062,12.903455,1.228986,0,0.8678007,0.33979034,0.52801037,,,0,,,,NOT_AVAILABLE,129.54040778766318,-0.9993882894668386,51.76188606846534,45.857641033755485,100001,5726.81,5429.9004,6048.895,,,,,,,200111,5.363637,4.80765,5.966247,27.878191,23.150553,32.605827,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216110268439552,,135,26.66079,61.16214
128,2.2353761831299024E-4,1635721458409799680,Gaia DR2 511241021078756096,511241021078756096,735994944,2015.5,26.345628653265244,0.017141085234176224,61.16029759871754,0.0199859296910206,0.3454889533096859,0.029599576083100078,11.6720915,-1.100492455278287,0.02838251839093769,0.004511509515018403,0.04011076668182902,-0.37790322,0.06387383,-0.56454843,0.27256566,-0.047487706,0.22988452,-0.32174683,-0.011412092,0.068991244,-0.54422957,519,519,514,5,5.487908,704.11536,0.0,0.0,31,false,267.08258,1.6026738541928875,0.004347666195754662,-0.030897336,59,19,0.032311987,0,63,true,549,189898.1875420886,39.71615397933417,4781.3843,12.4920635,59,101667.44560540788,112.35532075977403,904.8743,12.833433,58,131094.59023820187,87.00011317368498,1506.8324,11.967958,1.2257202,0,0.8654747,0.34136963,0.5241051,,,0,,,,NOT_AVAILABLE,129.3919338494459,-1.0330294469018344,51.57269674626278,45.93401218601224,100001,5778.75,5380.0,6641.575,2.0082,1.837,2.1941,1.0203,0.9132,1.1097,200111,7.9076214,5.9864793,9.12324,62.823494,54.15622,71.49077,http://geadata.esac.esa.int/data-server/datalink/links?ID=511241021078756096,,136,26.3453,61.16014
129,2.3099082954440976E-4,1635721458409799680,Gaia DR2 511216114574344320,511216114574344320,497676562,2015.5,26.660422659930383,0.012652802025746828,61.15858779090759,0.014279582727786384,0.3064630073366667,0.019754670191873887,15.513446,-1.2084223159230176,0.021474139308169424,-0.26794662645101885,0.029978415890747956,-0.54861724,-0.04416991,-0.65400267,0.45111808,0.023661919,0.4137047,-0.42787436,0.10862066,-0.05116781,-0.6595627,501,0,501,0,-9.72013,248.1017,0.0,0.0,31,false,87.83064,1.6050299319234897,0.0030358267013654633,-0.03322673,57,18,0.04318581,0,59,true,518,68696.38413934993,9.811060001141827,7001.933,13.596031,58,37196.006127833825,44.289572787030366,839.8367,13.925147,57,47082.235368630856,29.14432812956634,1615.4854,13.079778,1.2268221,0,0.84536934,0.32911587,0.5162535,,,0,,,,NOT_AVAILABLE,129.5407797542557,-1.0028184499320418,51.758921051727235,45.85487697544766,100001,5610.1333,4987.3335,5818.0,2.105,1.741,2.304,1.0343,0.8693,1.1691,200111,5.723645,5.32196,7.2423954,29.237,24.09544,34.37856,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216114574344320,,137,26.66003,61.15872
130,1.9445985962637558E-4,1635721458409799680,Gaia DR2 511241025385674752,511241025385674752,1683752575,2015.5,26.35619542670506,0.01047652008404565,61.15640043485618,0.012387494490254591,0.3386936670863156,0.018803336313482816,18.012424,-1.1055222422832256,0.01795689940366917,-0.21365892512537704,0.025387423991528466,-0.36978194,0.06981849,-0.51572126,0.25542888,-0.013647855,0.2085635,-0.27367824,0.015873576,0.016155139,-0.5492298,492,0,492,0,-7.4865627,288.2557,0.0,0.0,31,false,111.73263,1.5996093805929137,0.00271458175746672,-0.0205719,56,19,0.034897882,0,61,false,526,88029.26119848745,18.35336765226804,4796.3545,13.326798,57,47263.32063886374,53.72780621166685,879.68085,13.665077,58,60709.32828090939,42.519799150157574,1427.7897,12.8037815,1.226554,0,0.8612957,0.33827877,0.5230169,,,0,,,,NOT_AVAILABLE,129.39773029763612,-1.0357831014091283,51.57611835520578,45.928053412818336,100001,5799.4473,5497.815,6373.343,1.935,1.6279,2.3021,0.945,0.817,1.142,200111,5.449434,4.5122175,6.0637927,30.26522,25.608236,34.922203,http://geadata.esac.esa.int/data-server/datalink/links?ID=511241025385674752,,138,26.35594,61.15625
131,5.536450431129811E-5,1635721458409799680,Gaia DR2 511240166392491008,511240166392491008,787239536,2015.5,26.443304038609213,0.017834449869112444,61.15580528975702,0.020088225842291026,0.2947726846139284,0.029235446888171847,10.082715,-1.3064001573679347,0.03093102092906742,-0.2140263405778495,0.04222406718728582,-0.42792693,-0.09461465,-0.612284,0.32383597,0.1586653,0.2921733,-0.36683643,0.168262,-0.13534392,-0.5978562,548,548,529,19,12.397569,1035.4808,0.0,0.0,31,true,375.93073,1.6176779676400428,0.004186048794201019,-0.045059934,62,18,0.035234813,0,66,false,547,337965.2686462054,470.61573637023923,718.1342,11.866185,58,191917.18738575358,663.0217373323327,289.45837,12.143603,54,219839.36015881383,970.7859786721197,226.45502,11.406656,1.2183398,0,0.73694706,0.27741814,0.45952892,,,0,,,,NOT_AVAILABLE,129.43896164671372,-1.0276072763727404,51.627561843491534,45.90602046633525,100001,6197.0,5897.62,6564.0,,,,,,,200111,10.662318,9.503366,11.772292,151.05112,126.82274,175.2795,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240166392491008,,139,26.44331,61.15575
132,3.092838732994874E-5,1635721458409799680,Gaia DR2 511193570280071040,511193570280071040,390305944,2015.5,26.532856989852032,0.020276562394870266,61.15532910572476,0.023120358265112998,0.3383027135053583,0.031674931086005796,10.680456,-1.0894156687349477,0.03369081084837799,-0.44861732031286117,0.04827900159585,-0.5232329,-0.04802466,-0.6563789,0.41063032,0.046224184,0.3866874,-0.41846713,0.052003406,0.005800004,-0.6230043,504,504,482,22,10.592618,883.67017,0.0,2.5666147450109E-15,31,false,370.11588,1.6306814774138676,0.00474884793071905,-0.041349344,57,18,0.03937951,0,60,false,496,370361.0633811285,126.38291681187665,2930.4678,11.766803,56,207787.89023420733,251.64723129794956,825.711,12.057338,55,242736.84276612787,159.79422027465841,1519.059,11.299081,1.2164474,0,0.7582569,0.29053497,0.46772194,,,0,,,,NOT_AVAILABLE,129.4813106275391,-1.0190114550566718,51.6805509151264,45.883511059312305,100001,5846.563,5500.0,6482.7646,,,,,,,200111,10.996424,8.944009,12.425886,127.29173,108.53551,146.04796,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193570280071040,,140,26.53286,61.15536
133,1.1962030919027206E-4,1635721458409799680,Gaia DR2 511240338191183360,511240338191183360,1149802932,2015.5,26.399534918516125,0.012965013190119667,61.15529599672906,0.014677325994202005,0.3377586235760932,0.021088326371434516,16.016378,-1.2132031248465198,0.02169133298073792,-0.18875780044146442,0.03028325867832358,-0.39525738,0.053423077,-0.5875489,0.28072503,0.027917486,0.2486743,-0.33326194,0.019570159,-0.026020607,-0.55001634,493,9,493,0,-6.181501,318.7355,0.0,0.0,31,false,54.34476,1.620268804794518,0.0031675656098952977,-0.021041565,57,19,0.040290933,0,60,true,517,43493.111984590694,7.385832300943384,5888.7217,14.092315,57,23923.854524662416,26.133714105702165,915.4403,14.40431,55,29402.58429036829,21.867877205415493,1344.5559,13.590957,1.2260892,0,0.81335354,0.3119955,0.50135803,,,0,,,,NOT_AVAILABLE,129.41841407025217,-1.032512885377961,51.60111790088403,45.91639397175347,100001,5818.5,5643.975,6006.5,,,,,,,200111,3.8138328,3.5788274,4.0533447,15.019731,12.537857,17.501604,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240338191183360,,141,26.39942,61.15519
