v20160904csv_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,v20160904_oid,col1,col2
4,2.0248215875181882E-4,1635721458409799680,Gaia DR2 511193471505349504,511193471505349504,1507971102,2015.5,26.55304602369903,0.019918556236437186,61.13011406063104,0.022908143788448188,0.2840852783338407,0.032207446746627816,8.820484,-1.240552662251147,0.03389997574488963,-0.23276941043363839,0.048198681529369444,-0.54832464,-0.093406424,-0.65061325,0.43348965,0.056919664,0.41583195,-0.4801451,0.106052324,-0.048681945,-0.6675075,536,536,522,14,13.047032,1059.1786,0.0,0.0,31,true,324.88342,1.6484475222144448,0.004638501021025275,-0.03893829,61,17,0.03977263,0,66,false,529,888237.7728268884,246.88596184377,3597.7654,10.817042,62,514004.3871287723,556.8402155064146,923.07336,11.073971,62,552317.4179960772,345.52974582353175,1598.4656,10.406448,1.2004914,0,0.66752243,0.25692844,0.410594,,,0,,,,NOT_AVAILABLE,129.49614786027846,-1.0416094255508692,51.67407160105321,45.856857967369436,100001,6378.0,6316.5,6685.0,,,,,,,200111,16.907154,15.389933,17.237986,426.16107,350.5464,501.77576,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193471505349504,,4,26.55288,61.1303
5,7.816837807403859E-5,1635721458409799680,Gaia DR2 511240200752235136,511240200752235136,853061039,2015.5,26.40758240476702,0.01595119893962189,61.13307860722991,0.018484768308141535,0.3264021633525967,0.027689038853604617,11.7881365,-1.2104012762727523,0.02724884776633908,-0.20788465503652165,0.03831737193868969,-0.37120563,0.02216063,-0.54045635,0.23610678,0.06466008,0.19870336,-0.27340564,0.039222203,-0.011973578,-0.54246765,565,565,548,17,8.351367,866.42,0.0,0.0,31,false,366.567,1.5933760339394702,0.003950918875872896,-0.03174055,64,19,0.03128734,0,68,false,601,290941.9895055879,946.1752234083433,307.4927,12.02885,64,153259.43307438662,1559.799811642759,98.25584,12.38782,64,210891.0827374987,1835.5861114984905,114.89033,11.451775,1.2516259,0,0.93604565,0.35897064,0.577075,,,0,,,,NOT_AVAILABLE,129.42684543691288,-1.053432534103607,51.5895640160247,45.89532123687117,100001,5378.05,5179.9604,5646.815,,,,,,,200111,12.179479,11.047683,13.128812,111.80246,96.16635,127.43857,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240200752235136,,5,26.40766,61.13301
6,1.1694921156579371E-4,1635721458409799680,Gaia DR2 511193570280071040,511193570280071040,390305944,2015.5,26.532856989852032,0.020276562394870266,61.15532910572476,0.023120358265112998,0.3383027135053583,0.031674931086005796,10.680456,-1.0894156687349477,0.03369081084837799,-0.44861732031286117,0.04827900159585,-0.5232329,-0.04802466,-0.6563789,0.41063032,0.046224184,0.3866874,-0.41846713,0.052003406,0.005800004,-0.6230043,504,504,482,22,10.592618,883.67017,0.0,2.5666147450109E-15,31,false,370.11588,1.6306814774138676,0.00474884793071905,-0.041349344,57,18,0.03937951,0,60,false,496,370361.0633811285,126.38291681187665,2930.4678,11.766803,56,207787.89023420733,251.64723129794956,825.711,12.057338,55,242736.84276612787,159.79422027465841,1519.059,11.299081,1.2164474,0,0.7582569,0.29053497,0.46772194,,,0,,,,NOT_AVAILABLE,129.4813106275391,-1.0190114550566718,51.6805509151264,45.883511059312305,100001,5846.563,5500.0,6482.7646,,,,,,,200111,10.996424,8.944009,12.425886,127.29173,108.53551,146.04796,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193570280071040,,8,26.53278,61.15544
7,3.7025829172902816E-5,1635721458409799680,Gaia DR2 511240166392491008,511240166392491008,787239536,2015.5,26.443304038609213,0.017834449869112444,61.15580528975702,0.020088225842291026,0.2947726846139284,0.029235446888171847,10.082715,-1.3064001573679347,0.03093102092906742,-0.2140263405778495,0.04222406718728582,-0.42792693,-0.09461465,-0.612284,0.32383597,0.1586653,0.2921733,-0.36683643,0.168262,-0.13534392,-0.5978562,548,548,529,19,12.397569,1035.4808,0.0,0.0,31,true,375.93073,1.6176779676400428,0.004186048794201019,-0.045059934,62,18,0.035234813,0,66,false,547,337965.2686462054,470.61573637023923,718.1342,11.866185,58,191917.18738575358,663.0217373323327,289.45837,12.143603,54,219839.36015881383,970.7859786721197,226.45502,11.406656,1.2183398,0,0.73694706,0.27741814,0.45952892,,,0,,,,NOT_AVAILABLE,129.43896164671372,-1.0276072763727404,51.627561843491534,45.90602046633525,100001,6197.0,5897.62,6564.0,,,,,,,200111,10.662318,9.503366,11.772292,151.05112,126.82274,175.2795,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240166392491008,,9,26.44338,61.1558
8,1.3766201141434255E-4,1635721458409799680,Gaia DR2 511241021078756096,511241021078756096,735994944,2015.5,26.345628653265244,0.017141085234176224,61.16029759871754,0.0199859296910206,0.3454889533096859,0.029599576083100078,11.6720915,-1.100492455278287,0.02838251839093769,0.004511509515018403,0.04011076668182902,-0.37790322,0.06387383,-0.56454843,0.27256566,-0.047487706,0.22988452,-0.32174683,-0.011412092,0.068991244,-0.54422957,519,519,514,5,5.487908,704.11536,0.0,0.0,31,false,267.08258,1.6026738541928875,0.004347666195754662,-0.030897336,59,19,0.032311987,0,63,true,549,189898.1875420886,39.71615397933417,4781.3843,12.4920635,59,101667.44560540788,112.35532075977403,904.8743,12.833433,58,131094.59023820187,87.00011317368498,1506.8324,11.967958,1.2257202,0,0.8654747,0.34136963,0.5241051,,,0,,,,NOT_AVAILABLE,129.3919338494459,-1.0330294469018344,51.57269674626278,45.93401218601224,100001,5778.75,5380.0,6641.575,2.0082,1.837,2.1941,1.0203,0.9132,1.1097,200111,7.9076214,5.9864793,9.12324,62.823494,54.15622,71.49077,http://geadata.esac.esa.int/data-server/datalink/links?ID=511241021078756096,,10,26.34562,61.16016
9,2.764318981235266E-4,1635721458409799680,Gaia DR2 511216904848319104,511216904848319104,287383583,2015.5,26.612753680959262,0.01788244355638609,61.167197481512304,0.02155170121720559,0.4024078808427795,0.029280462653827617,13.743221,-1.0730206472733717,0.031535239307187594,-0.20848636219232183,0.04660606724144102,-0.4883813,-0.013487914,-0.59655887,0.37626,0.035760067,0.35838136,-0.4383857,0.11179146,-0.083780155,-0.6248974,538,538,522,16,8.305855,831.7977,0.0,0.0,31,false,285.8906,1.6168611763420895,0.004429153242092175,-0.017054167,61,18,0.038416844,0,66,true,541,1779971.2773960477,404.63939610155313,4398.9077,10.062333,63,956216.1649049796,489.3310328919518,1954.1294,10.399998,62,1195265.5533979954,737.5458168445732,1620.5984,9.568259,1.2087171,1,0.8317385,0.3376646,0.49407387,,,0,,,,NOT_AVAILABLE,129.5164817237103,-0.9992781896808164,51.736845291670335,45.87401932496347,100002,5791.0,5755.6665,5828.5,,,,,,,200111,20.689957,20.42458,20.944763,433.73868,382.7268,484.75055,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216904848319104,,13,26.61229,61.16736
10,3.2363916012024026E-5,1635721458409799680,Gaia DR2 511240372550919424,511240372550919424,1638959291,2015.5,26.423331873985607,0.018271421345973645,61.169576179363595,0.022319050809413245,0.3896518733057319,0.030442113452899877,12.799765,-0.7332229552009975,0.0317419806151719,-0.6545487759926072,0.045739189184328205,-0.39964166,-0.013500645,-0.5840457,0.32868356,0.17417367,0.2842988,-0.34743485,0.1126962,-0.11664133,-0.60129976,480,436,465,15,15.22573,1092.4207,0.0,0.0,31,true,205.28407,1.5915924815818752,0.004677216029460081,-0.044363193,56,19,0.038011704,0,58,true,478,153362.23693978917,71.04311802745609,2158.7205,12.72407,53,82453.9253958009,146.31666000565747,563.53064,13.06086,52,105507.533377214,142.73995268579313,739.1591,12.2037115,1.2256045,0,0.8571482,0.33679008,0.5203581,,,0,,,,NOT_AVAILABLE,129.42666228831675,-1.0161527094276583,51.62580162034486,45.92278153590535,100001,5541.6665,5424.9854,5881.4473,1.926,1.7077,2.0839,0.9677,0.781,1.05,200111,6.914474,6.138631,7.215107,40.62324,35.41971,45.826775,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240372550919424,,14,26.42339,61.16956
11,4.56523529990514E-5,1635721458409799680,Gaia DR2 511240540042417408,511240540042417408,267490790,2015.5,26.456078223871653,0.018919924568972794,61.17274877849806,0.021390055970874886,0.30868102677614745,0.02912803693729942,10.597385,-1.012636394635288,0.0324376396057717,-0.22338196461935472,0.04406197319760208,-0.49967918,0.05089243,-0.62762576,0.38384765,0.04776203,0.35828912,-0.4248436,0.046876907,-0.03997738,-0.63822544,513,504,510,3,3.685282,630.6342,0.0,0.0,31,false,225.63097,1.6052431302113537,0.004495467867978835,-0.011550839,58,19,0.0377375,0,61,true,520,157999.2829455307,28.955362018074133,5456.6504,12.691728,58,85227.69388795643,103.09890225047552,826.65955,13.024937,56,108600.72705168124,61.53511444682671,1764.8578,12.1723385,1.2267678,0,0.8525982,0.33320904,0.51938915,,,0,,,,NOT_AVAILABLE,129.44144287459886,-1.0097499236854623,51.64763398049095,45.91742240411245,100001,5582.0,5500.0,5756.533,,,,,,,200111,8.71554,8.195056,8.977359,66.441986,56.23768,76.64629,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240540042417408,,15,26.45617,61.17276
12,1.6212727329497335E-4,1635721458409799680,Gaia DR2 511217106700849664,511217106700849664,1419098186,2015.5,26.573327530140872,0.019895902242014374,61.176120618424065,0.0238309527467916,0.32473514335864717,0.03211866616439329,10.11048,-2.7242666938336786,0.03442795497487748,-0.5570552490007075,0.04947637783334752,-0.50266737,0.05473087,-0.60360956,0.38012797,0.0020543498,0.35936362,-0.44270837,0.078219205,-0.03598085,-0.646552,495,495,480,15,20.243076,1410.6154,0.0,0.0,31,false,344.6882,1.3494594458595512,0.005039279656857054,-0.028124526,57,18,0.04014339,0,63,true,484,285006.2811093111,64.16370239326608,4441.8613,12.0512295,53,69782.93161246114,148.20139055982727,470.86557,13.242015,51,329304.7189389184,413.25981416100586,796.8467,10.967925,1.4002767,1,2.2740898,1.1907854,1.0833044,-57.77881600205429,2.470822210659566,15,5000.0,3.0,0.0,NOT_AVAILABLE,129.49601152220717,-0.9945739555169771,51.719919777088556,45.891403466376914,100002,3877.6301,3455.0,4542.0,1.339,1.0839,1.6031,0.6427,0.5434,0.8051,200111,30.79448,22.444574,38.789085,193.15501,163.22847,223.08156,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217106700849664,,17,26.5731,61.17624
13,2.6122971982986816E-4,1635721458409799680,Gaia DR2 511216973567782400,511216973567782400,134256631,2015.5,26.64317950921088,0.012635618669295525,61.17860450030189,0.014857740454516865,0.3050130237878794,0.021487021505997444,14.195221,-1.0014367055496716,0.02322892512537988,-0.2998205968114276,0.033109097750859164,-0.44491452,-0.013185618,-0.5073042,0.3603228,-0.008519905,0.30097252,-0.2931787,0.13013357,-0.10348582,-0.6204734,469,8,468,1,-6.12055,300.1084,0.0,0.0,31,false,56.04521,1.5975732612496985,0.003247673748137589,-0.010887441,53,19,0.044075437,0,57,false,490,44254.454890763875,7.810788433604288,5665.8115,14.073473,47,23767.800102644636,36.49225482953438,651.3108,14.411416,49,30736.773558538203,20.71351745879387,1483.8993,13.542774,1.2316178,1,0.86864185,0.33794308,0.5306988,,,0,,,,NOT_AVAILABLE,129.52840433740604,-0.9850221899273773,51.76332907122012,45.87633367412691,100002,5741.637,5449.83,6133.263,,,,,,,200111,4.3851805,3.8430474,4.867355,18.828365,15.335804,22.320927,http://geadata.esac.esa.int/data-server/datalink/links?ID=511216973567782400,,19,26.64265,61.17866
