b20151205csv_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,b20151205_oid,col1,col2
13,1.7667147729292536E-4,1635721458409799680,Gaia DR2 511217282805390464,511217282805390464,627619714,2015.5,26.606689421387166,0.0184974775499592,61.20899793401235,0.023010114397183735,0.3707582131839284,0.03142902859081894,11.79668,-1.4271800647822108,0.03263365872710961,-0.31112442892232317,0.04685405289535782,-0.38935518,-6.910369E-4,-0.58342457,0.31856808,0.015318955,0.2504359,-0.33979827,0.08932299,0.051180113,-0.60909086,451,451,447,4,3.7567177,562.5847,0.0,2.6901064090924424E-15,31,false,309.38202,1.6222297168490236,0.005309104228118184,-0.031558532,51,17,0.037376225,0,60,false,463,217331.56342154826,34.89355032223469,6228.4165,12.345559,54,120684.2624161761,188.75926986725793,639.3554,12.647262,50,144698.23492579427,72.58268653774554,1993.5641,11.860762,1.2210951,0,0.7865,0.3017025,0.48479748,,,0,,,,NOT_AVAILABLE,129.5047797800472,-0.9590423371816778,51.76392408571253,45.91144407615027,100001,5912.6665,5798.0,6340.033,,,,,,,200111,7.5030127,6.525584,7.80272,61.98686,53.69587,70.27785,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217282805390464,,39,26.60639,61.2091
14,2.3514044565554494E-4,1635721458409799680,Gaia DR2 511217454604082944,511217454604082944,226331060,2015.5,26.651221195423037,0.01210461649274797,61.20698882256367,0.014407665119730963,0.2290643408521026,0.022321983022174592,10.261827,-1.1426133795901423,0.021937353582808544,-0.1613731879459513,0.03135512390567834,-0.4875293,-0.03927324,-0.48048303,0.26234007,0.10043272,0.24192658,-0.3004601,-0.020070797,0.07720318,-0.6618283,482,9,482,0,-5.9005938,316.46756,0.0,1.823253510052564E-15,31,false,96.573906,1.6039131302057754,0.002930838862282162,-0.060388546,55,17,0.041307792,0,60,false,499,75367.33636299016,26.86418104397508,2805.4954,13.495408,47,40511.15767292854,68.02221102006926,595.5578,13.832452,49,52641.4274697384,46.710909647622614,1126.9622,12.958601,1.2359809,0,0.8738508,0.33704376,0.53680706,,,0,,,,NOT_AVAILABLE,129.52616945006346,-0.9564618666240771,51.788943078697315,45.89875705666288,100001,5579.5,5400.0,5925.6973,,,,,,,200111,8.119848,7.1987906,8.668639,57.56674,42.97731,72.156166,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217454604082944,,40,26.65091,61.20717
15,1.940255123489548E-4,1635721458409799680,Gaia DR2 511217282805392640,511217282805392640,143348797,2015.5,26.6152892842913,0.017447203636088662,61.207065680690036,0.021958150161386213,0.36237418351957534,0.03178002804633107,11.4025755,-1.1096755718498155,0.0313319572620458,-0.15757249536589432,0.04515706021572644,-0.41687548,-0.011458029,-0.55277395,0.28059363,0.045589905,0.26445368,-0.40874496,0.11608974,-0.019622725,-0.6005939,543,543,525,18,9.857474,906.1084,0.0,0.0,31,false,317.24515,1.5701130981811795,0.004209422117216395,0.0035512997,62,18,0.035892423,0,67,false,570,1432619.2913948144,4142.991486696358,345.79346,10.2980385,58,729709.2019409569,5786.314074832749,126.109505,10.693514,57,1051483.1887520035,10302.902721301212,102.056984,9.707415,1.2433118,0,0.98609924,0.3954754,0.59062386,,,0,,,,NOT_AVAILABLE,129.50923742968254,-0.9600544440350963,51.767621163832885,45.90766622224225,100001,5298.25,5150.0,5365.0,,,,,,,200111,25.215193,24.591654,26.687798,451.38705,389.14337,513.63074,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217282805392640,,41,26.61498,61.20719
16,2.602744283052409E-4,1635721458409799680,Gaia DR2 511264183850593792,511264183850593792,1379267616,2015.5,26.497122484141652,0.019157446998682114,61.2126723271177,0.02298945394048205,0.3379360065617801,0.030937847734495837,10.923061,-0.970739287891558,0.03212808545658273,-0.3180941605065627,0.046561522390054164,-0.5453789,0.062255148,-0.5805955,0.37320006,0.0784919,0.3739809,-0.42108068,0.067446545,-0.12854376,-0.6562002,491,491,479,12,4.291888,618.0102,0.0,0.0,31,true,332.2023,1.5786729819798708,0.004702064856667681,-0.030339016,56,17,0.038345095,0,64,true,531,1269921.105398949,4074.5204363206017,311.67377,10.428924,55,641223.005554107,4762.27274669518,134.64642,10.833865,59,909641.3223094958,10815.723759558623,84.1036,9.864744,1.2212288,0,0.969121,0.40494156,0.5641794,,,0,,,,NOT_AVAILABLE,129.45241662983886,-0.9665681752462724,51.70144406490565,45.94159375542155,100001,5366.0,5337.75,5731.645,,,,,,,200111,24.706348,21.65466,24.968557,455.94717,389.71896,522.1754,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264183850593792,,42,26.4967,61.21251
17,1.8369811594201287E-4,1635721458409799680,Gaia DR2 511217656456656000,511217656456656000,390415729,2015.5,26.626011476011044,0.018630142453514676,61.216575998026116,0.022349031780575963,0.2948701671377107,0.030616239367531235,9.631168,-1.074504776759071,0.03258601563522832,-0.1662151695007868,0.047936871199272466,-0.3811699,-0.006821247,-0.588981,0.33355537,-0.051619604,0.2851762,-0.36942345,0.08776862,0.0021656714,-0.53430486,458,452,441,17,7.69118,703.91864,0.0,0.0,31,false,350.72974,1.5997963121197714,0.004596448278420456,-0.016384961,53,18,0.037984967,0,61,false,462,271600.483312686,74.23464980757616,3658.6753,12.103539,52,146604.98873353857,273.3156874733326,536.39435,12.436016,49,185644.17398254038,180.58753807970362,1028.001,11.590217,1.223301,0,0.84579945,0.33247662,0.51332283,,,0,,,,NOT_AVAILABLE,129.51227062281774,-0.9496664541562669,51.78098574353779,45.91320153826908,100001,5666.4,5017.0,5835.0,,,,,,,200111,11.568428,10.909556,14.757086,124.30034,103.67633,144.92435,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217656456656000,,46,26.62573,61.2167
18,2.4915441630140233E-4,1635721458409799680,Gaia DR2 511264218210331008,511264218210331008,607905333,2015.5,26.510057165015986,0.02194068855239066,61.22065065709614,0.027639690203772074,0.3258232306707493,0.034401670247429135,9.471146,-1.1439672191186063,0.03617431834845621,-0.26615941917965796,0.05208974706106582,-0.6140747,-0.014023019,-0.57120955,0.37675357,0.173783,0.36000904,-0.41433802,-0.08221635,0.06291972,-0.69705385,455,455,441,14,8.322051,729.86945,0.0,0.0,31,true,386.52515,1.5854772139233555,0.004971825612542662,-0.003643853,51,17,0.042024568,0,58,false,456,372520.23115759273,107.14394133773139,3476.8203,11.760491,45,194989.74997501273,237.1434108189097,822.244,12.126359,46,261873.38150810794,179.9456928726951,1455.2911,11.216692,1.2264116,1,0.909667,0.3658676,0.5437994,,,0,,,,NOT_AVAILABLE,129.45683124714387,-0.957460003127241,51.715011486608624,45.945259147255015,100002,5474.0,5138.16,5991.9326,2.161,1.8856,2.4526,1.095,0.9416,1.247,200111,13.253044,11.060924,15.042151,142.084,119.10554,165.06247,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264218210331008,,47,26.50963,61.22051
19,2.5309911138838345E-4,1635721458409799680,Gaia DR2 511217488963802240,511217488963802240,502121873,2015.5,26.672625527656642,0.03930970170572753,61.22087515156568,0.05418069645384751,0.31595126957470065,0.060022518479861287,5.263879,-1.060843502395235,0.05792867181550729,-0.14296040746650507,0.09865040005748843,-0.5478042,0.23081233,-0.71677697,0.44112235,-0.07475047,0.4610993,-0.6690032,-0.1406397,0.13403961,-0.5958243,285,285,261,24,16.605888,844.08875,0.09487105835571448,3.7760466867794324,31,false,78.24913,1.5933667444012936,0.008985981039494878,0.0053451974,32,12,0.06825953,0,39,true,302,804958.0580505789,705.7363830331097,1140.5931,10.923933,33,424234.4381799555,891.7197616618571,475.7486,11.282373,31,546317.9795098557,452.77604522223106,1206.5964,10.418306,1.205718,0,0.8640671,0.3584404,0.5056267,,,0,,,,NOT_AVAILABLE,129.53329352555775,-0.9407034733745511,51.81186974183225,45.90542968765201,100001,5686.3335,5543.0,5994.0874,,,,,,,200111,18.443102,16.597876,19.409256,320.3996,240.34448,400.4547,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217488963802240,,48,26.67229,61.22107
20,1.0565662035061958E-4,1635721458409799680,Gaia DR2 511217660762493568,511217660762493568,461441555,2015.5,26.61796255336389,0.010618503396747298,61.22284929705805,0.012903616675759446,0.29984189922185583,0.017794852141591235,16.849924,-0.9290960651653861,0.01908005784968005,-0.2573471616741223,0.027354947940709605,-0.49079466,-0.016532334,-0.5370266,0.33880645,0.046845313,0.31653503,-0.36594722,0.10663407,-0.06772205,-0.62496823,502,0,501,1,-4.90921,356.3547,0.0,0.0,31,true,119.4582,1.558445285149642,0.0025621944913825144,-0.007675289,58,19,0.03929502,0,62,false,527,94050.7440017092,19.106443646947696,4922.462,13.25496,49,46721.84501680754,66.68714767558868,700.6124,13.677588,45,69901.99047894981,42.26502061011713,1653.897,12.650696,1.2400097,1,1.0268927,0.4226284,0.60426426,,,0,,,,NOT_AVAILABLE,129.5071542272045,-0.9443560042165522,51.7808073547587,45.92057417888913,100002,5141.3335,5102.5,5232.013,,,,,,,200111,8.395642,8.107142,8.523921,44.371655,36.93979,51.80352,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217660762493568,,49,26.61777,61.2229
21,1.3253424535182215E-4,1635721458409799680,Gaia DR2 511217351524847360,511217351524847360,413754456,2015.5,26.59136961279668,0.01741822187844201,61.224193155483235,0.020920359866761065,0.28409639212216925,0.028465783011587018,9.980277,-1.310958517261311,0.031012381700386293,-0.16226346676925993,0.044443681554212355,-0.4506956,0.021456067,-0.54105747,0.35071555,0.09510374,0.31731606,-0.32905623,0.08655046,-0.09696251,-0.59432757,522,522,492,30,13.430806,1036.8164,0.0,0.0,31,false,383.50836,1.6092519566855958,0.004542500311142744,-0.027565552,59,19,0.03663628,0,64,false,515,478580.54435436986,208.7253182455715,2292.8726,11.488478,59,258421.64744090344,381.92387480782844,676.6313,11.820566,56,322484.6330898516,211.92718514597104,1521.6765,10.990647,1.2138109,0,0.82991886,0.33208847,0.4978304,,,0,,,,NOT_AVAILABLE,129.49435617195334,-0.9457500198412592,51.765978956090215,45.928274519393725,100001,5786.0,5607.5,5992.0,,,,,,,200111,15.224631,14.195805,16.20933,234.0464,195.76855,272.32425,http://geadata.esac.esa.int/data-server/datalink/links?ID=511217351524847360,,51,26.5911,61.22422
22,2.2985685429177853E-4,1635721458409799680,Gaia DR2 511264218210327296,511264218210327296,874242278,2015.5,26.52040135626252,0.04107197605531292,61.228274559318905,0.05083852359222704,0.42022455935755104,0.059019778132180546,7.1200633,-0.6182056796605718,0.065572322978756,-0.37703442045613417,0.0944007532276487,0.019824972,-0.20903797,-0.748218,0.004043563,-0.024614535,-0.012922538,-0.6172224,0.2556849,-0.0053063026,-0.32118857,254,254,254,0,-0.46023586,238.2221,0.0,8.960891209418259E-16,31,true,190.94426,1.543094337595589,0.007829051461667402,0.005881158,29,10,0.060733076,0,33,true,275,6536792.9917015955,3605.3193682842916,1813.0968,8.649954,32,3094212.500030869,4761.4511465996275,649.84656,9.125012,32,5021125.670639215,7735.624976077676,649.0911,8.009917,1.2414862,0,1.1150951,0.47505856,0.6400366,81.75791259553027,1.838785860335093,9,5500.0,4.5,0.0,NOT_AVAILABLE,129.46009787076372,-0.9489599299577833,51.72677627031599,45.949259390014504,100001,4983.6665,4899.25,5174.0,,,,,,,200111,53.989773,50.09064,55.866344,1619.9948,1319.6138,1920.3757,http://geadata.esac.esa.int/data-server/datalink/links?ID=511264218210327296,,52,26.52,61.22815
