v20151003csv_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,v20151003_oid,col1,col2
2,6.554386554874801E-5,1635721458409799680,Gaia DR2 511192578152153600,511192578152153600,235169370,2015.5,26.634554133347816,0.022612486436576436,61.119224542641156,0.02594949245414854,0.3195771122390771,0.03528196011638097,9.057805,-1.1334569053512131,0.03630463603744262,-0.3846787402814504,0.05204892026106616,-0.5374125,0.052119717,-0.67110735,0.44438607,-0.019044628,0.41150612,-0.44194102,0.027258404,0.01705809,-0.64226323,474,474,432,42,13.870449,972.9729,0.0,0.0,31,true,385.3683,1.6205606404888264,0.005482017565798851,-0.055661187,55,17,0.041597147,0,65,false,461,596888.3881542725,310.4071953922161,1922.9205,11.248632,50,330498.91810692457,437.705153729153,755.072,11.553463,51,390686.21012539114,239.89602018899453,1628.5648,10.78235,1.2082412,0,0.7711134,0.30483055,0.46628284,,,0,,,,NOT_AVAILABLE,129.53692764256763,-1.043934650525916,51.71467141373669,45.82739785942987,100001,5946.0,5391.53,6575.8066,,,,,,,200111,14.253785,11.654186,17.336283,228.79932,190.41927,267.17938,http://geadata.esac.esa.int/data-server/datalink/links?ID=511192578152153600,,4,26.63444,61.11926
4,7.60136733530935E-5,1635721458409799680,Gaia DR2 511193334066396416,511193334066396416,1638308685,2015.5,26.622160640837727,0.01417460368837286,61.126397936763524,0.016351111809740224,0.2980264360362782,0.022154606087640107,13.452121,-1.1225559237136167,0.024307942572581568,-0.14623071347002498,0.03468035232399698,-0.5077641,-0.04105436,-0.6500454,0.42862314,0.046125844,0.3785885,-0.36830512,0.10520594,-0.04364265,-0.6294155,456,0,454,2,-6.730197,275.5268,0.0,0.0,31,false,57.21972,1.5912727381165475,0.003369754801425224,-0.044251077,52,18,0.047191016,0,56,false,470,44982.36964801342,8.011063507040715,5615.031,14.055759,53,23512.312626408922,21.50564109620352,1093.3091,14.42315,46,31934.62644171964,30.386276193596107,1050.9556,13.501266,1.2326372,1,0.92188454,0.36739063,0.5544939,,,0,,,,NOT_AVAILABLE,129.52955731432698,-1.0381921048366853,51.7125382882396,45.83662128562665,100002,5320.0,4959.12,6195.4546,,,,,,,200111,5.3803353,3.9672196,6.1918917,20.891033,16.80074,24.981327,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193334066396416,,8,26.62201,61.12642
5,4.214809624955919E-5,1635721458409799680,Gaia DR2 511193334066395904,511193334066395904,342261154,2015.5,26.611846038443257,0.019520837481416194,61.12825288789492,0.022392310632964353,0.32786304065329497,0.03133201137725653,10.464155,-1.1286111085130637,0.033991237245709016,-0.15834522942994272,0.046865291129476294,-0.5371736,-0.042382378,-0.6186999,0.40573013,0.0356914,0.3739664,-0.40452984,0.10388706,-0.022512982,-0.65990275,514,514,498,16,3.041549,594.05145,0.0,0.0,31,true,312.7878,1.585762332453551,0.004745358145782115,-0.0423197,60,18,0.03889196,0,63,false,541,1203416.8894458017,2625.0385664106743,458.4378,10.487326,58,616560.6391718187,3811.5679115733637,161.76038,10.876449,57,870557.8525944903,6511.670134156646,133.69194,9.912426,1.2357467,0,0.96402264,0.38912296,0.5748997,,,0,,,,NOT_AVAILABLE,129.52429609652165,-1.0374335047963685,51.707749930373474,45.84075869978849,100001,5327.375,5078.0,5405.0,,,,,,,200111,25.21383,24.494804,27.751087,461.34464,391.7007,530.9885,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193334066395904,,9,26.61176,61.12826
6,8.990206093300173E-5,1635721458409799680,Gaia DR2 511193471505349504,511193471505349504,1507971102,2015.5,26.55304602369903,0.019918556236437186,61.13011406063104,0.022908143788448188,0.2840852783338407,0.032207446746627816,8.820484,-1.240552662251147,0.03389997574488963,-0.23276941043363839,0.048198681529369444,-0.54832464,-0.093406424,-0.65061325,0.43348965,0.056919664,0.41583195,-0.4801451,0.106052324,-0.048681945,-0.6675075,536,536,522,14,13.047032,1059.1786,0.0,0.0,31,true,324.88342,1.6484475222144448,0.004638501021025275,-0.03893829,61,17,0.03977263,0,66,false,529,888237.7728268884,246.88596184377,3597.7654,10.817042,62,514004.3871287723,556.8402155064146,923.07336,11.073971,62,552317.4179960772,345.52974582353175,1598.4656,10.406448,1.2004914,0,0.66752243,0.25692844,0.410594,,,0,,,,NOT_AVAILABLE,129.49614786027846,-1.0416094255508692,51.67407160105321,45.856857967369436,100001,6378.0,6316.5,6685.0,,,,,,,200111,16.907154,15.389933,17.237986,426.16107,350.5464,501.77576,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193471505349504,,10,26.55298,61.13003
7,1.3136620226220644E-4,1635721458409799680,Gaia DR2 511240200752235520,511240200752235520,408178995,2015.5,26.41096350713925,0.021551747000557717,61.13039738293437,0.023732735516340652,0.3271513629115933,0.03413520441422934,9.583987,-1.158324784229945,0.03600476125580526,-0.09740217070358936,0.04799681687919458,-0.43015507,-0.005934706,-0.58273053,0.3049872,0.05113839,0.23737554,-0.23004636,0.043264616,0.028218351,-0.5969722,462,0,458,4,0.13202903,456.31546,0.0,0.0,31,false,14.542839,1.5890730431977742,0.00576196266244322,-0.024790509,54,19,0.05798475,0,61,false,489,12345.65856232545,5.108392288022762,2416.7405,15.45958,7,6722.039786570193,65.64082918824629,102.40638,15.782636,8,11138.769053364927,639.036268163978,17.430574,14.644827,1.4467279,0,1.1378088,0.32305527,0.81475353,,,0,,,,NOT_AVAILABLE,129.4290014674537,-1.0557143664649138,51.58960689548957,45.892182326013355,102001,5000.0,4386.255,5570.6665,,,,,,,200111,2.9888425,2.407846,3.8837862,5.0301485,3.7940037,6.2662935,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240200752235520,,11,26.41103,61.13027
8,1.0763292528643664E-4,1635721458409799680,Gaia DR2 511193471505348224,511193471505348224,369355174,2015.5,26.531924385622553,0.013864602766005079,61.13327304682029,0.015989057654732096,0.3460604157499726,0.022868660973728732,15.132518,-1.4114444318702541,0.024571757340438448,-0.8050508483396636,0.03466041912696879,-0.5145965,-0.058629908,-0.62377936,0.38546416,0.02084552,0.349607,-0.40237993,0.17618594,-0.14412421,-0.65918404,464,0,463,1,-5.0110316,321.9357,0.0,0.0,31,false,69.4226,1.62634653950835,0.003176661594747535,-0.010610804,54,17,0.04705367,0,57,false,481,55083.466607345945,37.90299099179095,1453.2749,13.835813,54,31168.48160229861,65.75631631113298,473.99982,14.117099,53,35884.97867304745,109.31464704519023,328.27237,13.374639,1.2173065,0,0.74246025,0.28128624,0.461174,,,0,,,,NOT_AVAILABLE,129.4855120795569,-1.0406684587638755,51.66380248711611,45.86478416963755,100001,6018.9336,5788.0,6361.5,,,,,,,200111,3.896755,3.488375,4.213909,17.95474,14.858775,21.050705,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193471505348224,,12,26.53186,61.13317
10,2.045879339926016E-4,1635721458409799680,Gaia DR2 511240063313280512,511240063313280512,718471182,2015.5,26.466203797720876,0.012582725018170031,61.136809382533755,0.01362826596475336,0.3506666397568684,0.019978359960624407,17.552324,-1.108781732382497,0.021211137166365766,-0.28070309886655853,0.028259357310074826,-0.4848026,0.02470601,-0.5930866,0.278229,0.03787101,0.23867041,-0.25035572,-0.043648265,0.12570758,-0.61915267,472,0,472,0,-6.371312,297.5984,0.0,0.0,31,true,112.15195,1.6236550683905118,0.0029338759845740072,-0.03818336,54,18,0.03963065,0,61,false,502,88608.75880170446,16.421058669746774,5396.0444,13.3196745,61,50328.65436496936,61.819435903553284,814.1235,13.596849,58,57687.94818149432,33.454063140343315,1724.3928,12.859207,1.2190285,0,0.7376423,0.27717495,0.46046734,,,0,,,,NOT_AVAILABLE,129.45374493313957,-1.0438704701656258,51.62723784906201,45.884045144420455,100001,6197.0,5904.0,6752.25,,,,,,,200111,4.5893025,3.8655622,5.0561156,27.984278,23.65009,32.318466,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240063313280512,,16,26.466,61.13663
11,1.9624148317903885E-4,1635721458409799680,Gaia DR2 511240097673018240,511240097673018240,364127969,2015.5,26.46944154996528,0.013043721471705145,61.1390155886418,0.01485938333480022,0.35150479182571426,0.02174087841586803,16.167921,-1.1096440715142422,0.021575698130150846,-0.16873434923945327,0.03036631663283331,-0.51802045,0.045192625,-0.587127,0.31656352,0.045344576,0.27509764,-0.25976127,-0.09926217,0.15089948,-0.63731533,504,0,500,4,-6.60581,314.3941,0.0,0.0,31,false,71.44614,1.6196685926926235,0.0030434072115575472,-0.05077932,58,18,0.04122468,0,63,false,529,56516.5748938737,9.635959372341462,5865.174,13.807926,62,31590.275344784808,26.568212184196092,1189.0253,14.102505,58,37387.73480720614,21.46977065614895,1741.4128,13.330097,1.2204916,0,0.77240753,0.29457855,0.47782898,,,0,,,,NOT_AVAILABLE,129.4548112668459,-1.0413858725540335,51.630788274362175,45.88514138480758,100001,6053.1265,5640.0,6274.0,,,,,,,200111,3.8399284,3.5743213,4.423076,17.83446,14.912733,20.756186,http://geadata.esac.esa.int/data-server/datalink/links?ID=511240097673018240,,17,26.46926,61.13884
12,1.0131241550657112E-4,1635721458409799680,Gaia DR2 511193471505346432,511193471505346432,975052277,2015.5,26.529478207683947,0.017892093042315153,61.139643718584274,0.0206396799077102,0.3187012502369492,0.029357777568261415,10.855769,-1.115779754816655,0.031022955517133403,-0.2651025557202786,0.04385971878769506,-0.5315942,-0.027599495,-0.64252687,0.42076677,-0.024997428,0.37408516,-0.40367433,0.12561055,-0.093939625,-0.6685507,508,0,506,2,-1.9936523,439.89328,0.0,0.0,31,false,24.832329,1.6050398447701708,0.004152872299432253,-0.013215898,58,17,0.055963434,0,63,true,527,20438.388051819136,4.472289760992168,4570.0054,14.91225,56,11028.474789923965,11.099558333184632,993.5958,15.245099,54,14168.936772187746,14.202097381023952,997.6651,14.383576,1.2328473,0,0.8615227,0.3328495,0.5286732,,,0,,,,NOT_AVAILABLE,129.48301698389554,-1.034688796417547,51.66702102692852,45.870863413050486,100001,5659.8105,5500.0,5799.4473,,,,,,,200111,2.943739,2.8036892,3.1172936,8.011261,6.21115,9.811372,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193471505346432,,18,26.52936,61.13956
13,1.0631109177712784E-4,1635721458409799680,Gaia DR2 511193540224823040,511193540224823040,1101985245,2015.5,26.525562138338955,0.012702156320349727,61.13995656206549,0.014487496227137811,0.28447933422349714,0.021625333141853324,13.154911,-1.0832320264039432,0.02275316591905098,-0.1956226993034338,0.03163970799281832,-0.46724185,-0.08448393,-0.6183643,0.3622972,0.027657412,0.30988365,-0.3740207,0.20535126,-0.15914406,-0.6455742,498,0,496,2,-6.048877,324.2875,0.0,0.0,31,false,78.57123,1.6111016439212955,0.0029167893403766803,-0.013468712,57,17,0.043541625,0,61,false,521,62461.77889639396,14.895742019872722,4193.264,13.69933,56,34654.478578674665,39.850502388905014,869.61206,14.001989,56,41535.23118327647,35.45854927964467,1171.3743,13.2158785,1.2197813,0,0.7861109,0.30265903,0.48345184,,,0,,,,NOT_AVAILABLE,129.48110296912057,-1.0347805237377088,51.66491740756195,45.872098468764406,100001,5919.3335,5786.0,6724.6133,,,,,,,200111,5.229693,4.0521655,5.473498,30.250902,24.150185,36.35162,http://geadata.esac.esa.int/data-server/datalink/links?ID=511193540224823040,,19,26.52547,61.13986
