dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,table1_oid,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
4.807766851317398E-6,1635721458409799680,Gaia DR2 511239410478024192,511239410478024192,843534596,2015.5,26.32510642450722,0.02019391871833118,61.1156873370554,0.023052756663915396,0.3168494818492052,0.033665595471998495,9.41167,1,MWC,428,26.325104,61.115692,-5.05,1.57,2.0,8.602,0.196,0.209,...,...,Saturated
0.0027577418413139722,1635721458409799680,Gaia DR2 511239410471564672,511239410471564672,1414091297,2015.5,26.31939557075746,0.18077049377477433,61.11564962930524,0.21416091823256556,-0.1504604930583346,0.26692839160780973,-0.5636736,1,MWC,428,26.325104,61.115692,-5.05,1.57,2.0,8.602,0.196,0.209,...,...,Saturated
0.0021479239399600234,1635721458409799680,Gaia DR2 511217828255340672,511217828255340672,8496997,2015.5,26.643889067663572,0.018599414896666992,61.26249708863497,0.022250927994810474,0.3551981012911438,0.032843269745570565,10.814943,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
0.0024216495315790548,1635721458409799680,Gaia DR2 511217832561556352,511217832561556352,265257438,2015.5,26.650979030252916,1.3797582366530468,61.26525702310035,1.1403777142214124,-0.15413472079243634,1.0517110914896688,-0.14655614,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
0.0025128562950942042,1635721458409799680,Gaia DR2 511217832561537280,511217832561537280,24373323,2015.5,26.65324808371485,0.035079075645205335,61.26307333817761,0.04418342448131379,0.7189127455197389,0.06686134981856769,10.752292,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
8.898015824011773E-4,1635721458409799680,Gaia DR2 511217832561136128,511217832561136128,442205859,2015.5,26.647311902120197,0.027117024054619555,61.26410784597264,0.024827788727357015,0.3852391818211908,0.03213448386948502,11.988342,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
0.001526827281254297,1635721458409799680,Gaia DR2 511217832553147904,511217832553147904,1593490765,2015.5,26.64913445097544,0.14393276687669232,61.261856538315094,0.13915954455161697,0.058966503975209514,0.2370004480891433,0.24880335,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
0.0026975175089494524,1635721458409799680,Gaia DR2 511217832553142144,511217832553142144,961667771,2015.5,26.64880022526448,0.06657974776842704,61.265962708218304,0.07270725143721396,0.5423350969961588,0.12252706055154625,4.4262476,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
0.002427208760965217,1635721458409799680,Gaia DR2 511217828266538496,511217828266538496,552741314,2015.5,26.64932257780297,0.12353602085066052,61.26094230835545,0.12470417425092095,0.4531482914969065,0.21394101890253858,2.1180992,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
0.001788016348480403,1635721458409799680,Gaia DR2 511217832553147008,511217832553147008,1120052045,2015.5,26.646310460051065,0.7094374399113499,61.264872650570574,0.7381012013493699,1.7445704025444648,1.2748169221315977,1.368487,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
1.1303721980297778E-5,1635721458409799680,Gaia DR2 511217832553148032,511217832553148032,889091406,2015.5,26.648059335029867,0.020635890491883555,61.26328292425941,0.026522328142647496,0.2737119954641397,0.03621829424833667,7.557286,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
0.0018046117618292924,1635721458409799680,Gaia DR2 511217832554090752,511217832554090752,781248793,2015.5,26.648552797545346,0.26067665973073406,61.265077758143015,0.2695461581547411,-0.20383540205989503,0.3507068163568108,-0.5812131,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
1.4385080848802266E-5,1635721458409799680,Gaia DR2 511216904848319104,511216904848319104,287383583,2015.5,26.612753680959262,0.01788244355638609,61.167197481512304,0.02155170121720559,0.4024078808427795,0.029280462653827617,13.743221,3,MWC,700,26.612782,61.167202,-5.76,1.39,2.0,8.987,0.144,0.015,...,...,Saturated
6.599442719385123E-4,1635721458409799680,Gaia DR2 511216904840549120,511216904840549120,1486458251,2015.5,26.611427303455304,0.08118898988383848,61.16710866244888,0.09856952831606619,0.21517760062181643,0.14385846129154925,1.4957591,3,MWC,700,26.612782,61.167202,-5.76,1.39,2.0,8.987,0.144,0.015,...,...,Saturated
0.001473521655908739,1635721458409799680,Gaia DR2 511216904840547456,511216904840547456,812514591,2015.5,26.615441712114333,0.16774066176248004,61.16792731860835,0.21987951463999295,0.9475172595338722,0.31407649539208826,3.016836,3,MWC,700,26.612782,61.167202,-5.76,1.39,2.0,8.987,0.144,0.015,...,...,Saturated
6.721607998224132E-6,1635721458409799680,Gaia DR2 511193334066395904,511193334066395904,342261154,2015.5,26.611846038443257,0.019520837481416194,61.12825288789492,0.022392310632964353,0.32786304065329497,0.03133201137725653,10.464155,4,VES,619,26.611837,61.128258,-5.26,2.14,2.0,9.229,0.221,0.337,...,...,Saturated
4.5763495702989127E-4,1635721458409799680,Gaia DR2 511193334056847744,511193334056847744,706828997,2015.5,26.611485295873816,0.28969292173107114,61.12868296015013,0.21994416425768867,1.5357245431483026,0.3027360368389394,5.0728173,4,VES,619,26.611837,61.128258,-5.26,2.14,2.0,9.229,0.221,0.337,...,...,Saturated
0.0025284164073262174,1635721458409799680,Gaia DR2 511217282798310784,511217282798310784,467258051,2015.5,26.610055549450916,0.4958091923587629,61.206990832980544,0.9176968683666885,,,,5,BG,15,26.615303,61.207062,-6.65,4.92,2.0,9.251,0.201,0.148,...,...,Saturated
0.0023688049136518763,1635721458409799680,Gaia DR2 511217282798310656,511217282798310656,1408382892,2015.5,26.610396147649205,0.3775572727967232,61.206901631062706,0.4765041722320362,-0.3442033956447023,0.678825175737495,-0.5070575,5,BG,15,26.615303,61.207062,-6.65,4.92,2.0,9.251,0.201,0.148,...,...,Saturated
