trial_oid,dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,table1_oid,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
2,4.807766851317398E-6,1635721458409799680,Gaia DR2 511239410478024192,511239410478024192,843534596,2015.5,26.32510642450722,0.02019391871833118,61.1156873370554,0.023052756663915396,0.3168494818492052,0.033665595471998495,9.41167,1,MWC,428,26.325104,61.115692,-5.05,1.57,2.0,8.602,0.196,0.209,...,...,Saturated
4,0.0021479239399600234,1635721458409799680,Gaia DR2 511217828255340672,511217828255340672,8496997,2015.5,26.643889067663572,0.018599414896666992,61.26249708863497,0.022250927994810474,0.3551981012911438,0.032843269745570565,10.814943,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
7,8.898015824011773E-4,1635721458409799680,Gaia DR2 511217832561136128,511217832561136128,442205859,2015.5,26.647311902120197,0.027117024054619555,61.26410784597264,0.024827788727357015,0.3852391818211908,0.03213448386948502,11.988342,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
12,1.1303721980297778E-5,1635721458409799680,Gaia DR2 511217832553148032,511217832553148032,889091406,2015.5,26.648059335029867,0.020635890491883555,61.26328292425941,0.026522328142647496,0.2737119954641397,0.03621829424833667,7.557286,2,GG,102,26.648041,61.26329,-4.64,-0.74,2.02,8.88,0.132,0.236,...,...,Saturated
14,1.4385080848802266E-5,1635721458409799680,Gaia DR2 511216904848319104,511216904848319104,287383583,2015.5,26.612753680959262,0.01788244355638609,61.167197481512304,0.02155170121720559,0.4024078808427795,0.029280462653827617,13.743221,3,MWC,700,26.612782,61.167202,-5.76,1.39,2.0,8.987,0.144,0.015,...,...,Saturated
17,6.721607998224132E-6,1635721458409799680,Gaia DR2 511193334066395904,511193334066395904,342261154,2015.5,26.611846038443257,0.019520837481416194,61.12825288789492,0.022392310632964353,0.32786304065329497,0.03133201137725653,10.464155,4,VES,619,26.611837,61.128258,-5.26,2.14,2.0,9.229,0.221,0.337,...,...,Saturated
24,7.5622869759902775E-6,1635721458409799680,Gaia DR2 511217282805392640,511217282805392640,143348797,2015.5,26.6152892842913,0.017447203636088662,61.207065680690036,0.021958150161386213,0.36237418351957534,0.03178002804633107,11.4025755,5,BG,15,26.615303,61.207062,-6.65,4.92,2.0,9.251,0.201,0.148,...,...,Saturated
25,1.4026560801681907E-5,1635721458409799680,Gaia DR2 511264183850593792,511264183850593792,1379267616,2015.5,26.497122484141652,0.019157446998682114,61.2126723271177,0.02298945394048205,0.3379360065617801,0.030937847734495837,10.923061,6,MWC,698,26.49711,61.212685,-3.69,-6.16,2.89,9.425,0.148,0.109,...,...,Saturated
26,0.001986055255194326,1635721458409799680,Gaia DR2 511264183845870720,511264183845870720,21586463,2015.5,26.49966716787615,0.024868131333037856,61.21424322766722,0.029768306266099522,0.41705058369983394,0.04240824042904171,9.8341875,6,MWC,698,26.49711,61.212685,-3.69,-6.16,2.89,9.425,0.148,0.109,...,...,Saturated
28,0.00265907563908914,1635721458409799680,Gaia DR2 511264218210328448,511264218210328448,260505488,2015.5,26.526913878945717,0.024292162115569574,61.22499784396385,0.030650987246194417,0.3889932790339303,0.04485073406044561,8.673064,7,VES,616,26.525537,61.227573,-2.48,-5.76,2.0,9.645,0.234,0.368,...,...,Saturated
