source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
5.11193E+17,26.5213789,0.115545159,61.10264956,0.129637669,1.2458817,0.198424299,6.278877,17.095299,1.4716911,,,NOT_AVAILABLE,,
5.11192E+17,26.63174323,0.025479013,61.09813933,0.028710999,0.77927043,0.043672469,17.843517,15.873787,1.4532938,,,NOT_AVAILABLE,4472.92,
5.11193E+17,26.56922657,0.050151812,61.10140038,0.055717851,0.52812484,0.078116091,6.760769,17.127413,1.5252876,,,NOT_AVAILABLE,,
5.11193E+17,26.51313741,0.012479499,61.10101603,0.014257994,0.332864738,0.021701745,15.338156,13.952726,1.1005659,,,NOT_AVAILABLE,5124.907,2.5067
5.11192E+17,26.63459083,0.032265878,61.09798122,0.036012405,6.731994446,0.055128458,122.114685,15.981918,2.5832272,,,NOT_AVAILABLE,3656.5,0.0615
5.11193E+17,26.5765743,0.064076663,61.09845715,0.072179392,0.98095123,0.098827759,9.925867,17.590242,1.9094563,,,NOT_AVAILABLE,,
5.11193E+17,26.57748183,0.033147038,61.14841459,0.037766179,0.335854142,0.05316897,6.3167324,16.208052,1.2605047,,,NOT_AVAILABLE,4907.27,
5.11191E+17,26.479791,0.033709619,61.05391611,0.038376022,0.322824427,0.056549525,5.7087026,16.608135,1.40695,,,NOT_AVAILABLE,4669.8364,
5.11193E+17,26.56377112,0.021395754,61.09853811,0.024710137,0.730072501,0.03188113,22.899832,15.113482,1.2929115,,,NOT_AVAILABLE,4955.857,
5.11193E+17,26.60140594,0.025704901,61.15490119,0.029343825,0.279078735,0.042321187,6.594303,16.00493,1.0702906,,,NOT_AVAILABLE,5062.637,
5.11194E+17,26.51051559,0.029692466,61.15504788,0.03242734,0.284239962,0.045810609,6.2046757,16.154371,1.1715088,,,NOT_AVAILABLE,4962.48,
5.11194E+17,26.5204301,0.036852849,61.152438,0.040390878,0.400614703,0.054129627,7.401025,16.510748,1.610405,,,NOT_AVAILABLE,4318.513,
5.11192E+17,26.68525297,0.035882569,61.09588211,0.044180457,0.439020858,0.058867276,7.4578085,16.082336,1.369379,,,NOT_AVAILABLE,4485,
5.11194E+17,26.54505534,0.021446518,61.14344127,0.024004541,0.247909824,0.033078516,7.4945874,15.356255,1.126358,,,NOT_AVAILABLE,4979.25,
5.11192E+17,26.57981248,0.184686796,61.03859501,0.198647378,1.905903557,0.297431287,6.4078784,18.732147,2.2413063,,,NOT_AVAILABLE,,
5.11194E+17,26.51540565,0.015269808,61.14614328,0.017401526,0.815510097,0.024672736,33.053085,14.668893,1.2670898,,,NOT_AVAILABLE,4914.495,
5.11193E+17,26.58676947,0.055404399,61.14397765,0.063745259,0.428434053,0.085486861,5.011695,17.20173,1.4229374,,,NOT_AVAILABLE,,
5.11193E+17,26.62913433,0.017154126,61.14240839,0.019981294,0.899383711,0.03010693,29.87298,14.67633,1.2723198,,,NOT_AVAILABLE,4897.6665,
5.11192E+17,26.61652943,0.022065151,61.1050533,0.024715533,0.905015853,0.037182579,24.33978,15.513457,1.388999,,,NOT_AVAILABLE,4752.17,1.35
5.11193E+17,26.66679978,0.028769142,61.10172939,0.032115246,0.39535792,0.046958958,8.419223,16.040365,1.3645468,,,NOT_AVAILABLE,4926.05,
5.11194E+17,26.51637155,0.039365435,61.13516408,0.0449996,0.355619492,0.065620531,5.419333,16.776087,1.3130493,,,NOT_AVAILABLE,4821.1377,2.133
5.11193E+17,26.49877576,0.033688255,61.13491424,0.037411226,0.344210062,0.053447233,6.440185,16.464294,1.1889324,,,NOT_AVAILABLE,4909,
5.11193E+17,26.57017851,0.040601606,61.13228988,0.047619009,1.860133629,0.068782622,27.043657,16.732145,1.9075298,,,NOT_AVAILABLE,4078.0874,0.0725
5.11193E+17,26.53192439,0.013864603,61.13327305,0.015989058,0.346060416,0.022868661,15.132518,13.835813,0.74246025,,,NOT_AVAILABLE,6018.9336,
5.1119E+17,26.55064811,0.016880058,61.04192041,0.020234223,1.439073181,0.029783557,48.317707,15.20309,1.3311434,,,NOT_AVAILABLE,4738.17,0.824
5.11193E+17,26.65821576,0.017017222,61.12836994,0.019372795,0.23612543,0.029100034,8.114266,14.851877,0.8794718,,,NOT_AVAILABLE,5454.9854,
5.11193E+17,26.53550668,0.022022444,61.11605612,0.025836572,0.55547773,0.037763435,14.709407,15.605139,1.3144093,,,NOT_AVAILABLE,4976,
5.11193E+17,26.65151741,0.038497165,61.12802153,0.043198243,1.20114477,0.066130122,18.163353,14.592171,1.0057297,,,NOT_AVAILABLE,5278.44,0.454
5.11193E+17,26.55304602,0.019918556,61.13011406,0.022908144,0.284085278,0.032207447,8.820484,10.817042,0.66752243,,,NOT_AVAILABLE,6378,
5.11193E+17,26.62216064,0.014174604,61.12639794,0.016351112,0.298026436,0.022154606,13.452121,14.055759,0.92188454,,,NOT_AVAILABLE,5320,
5.11189E+17,26.75414174,0.111476679,61.07543059,0.116552004,1.814551358,0.161577809,11.230202,18.26924,2.3900318,,,NOT_AVAILABLE,,
5.11194E+17,26.54023964,0.031797179,61.18689952,0.035597757,0.355237249,0.050955867,6.971469,16.459972,1.5192327,,,NOT_AVAILABLE,4352.6665,
5.11194E+17,26.5592689,0.019085192,61.17846891,0.023013496,0.288721481,0.031576247,9.143629,15.336602,1.040904,,,NOT_AVAILABLE,5192.7754,
5.11194E+17,26.54620593,0.060848435,61.17716746,0.06626364,0.541099026,0.098767751,5.478499,17.591684,1.4561272,,,NOT_AVAILABLE,,
5.11194E+17,26.5473687,0.029347936,61.17722614,0.033259194,0.253294498,0.04829386,5.244859,16.287336,1.2916031,,,NOT_AVAILABLE,4888.267,
5.11194E+17,26.53178261,0.021753098,61.17354698,0.024666625,0.301755386,0.035721501,8.447444,15.6406,1.0448427,,,NOT_AVAILABLE,5181.3164,
5.11194E+17,26.55804023,0.019440767,61.17070759,0.022827774,0.253347322,0.033022903,7.671867,15.272466,1.0333948,,,NOT_AVAILABLE,5152.3135,
5.11192E+17,26.59838551,0.020242571,61.08681104,0.022005028,0.241448563,0.029940146,8.064375,15.016841,0.8695164,,,NOT_AVAILABLE,5527.415,
5.11194E+17,26.57864948,0.01098514,61.16689131,0.012985055,0.294137225,0.018068432,16.279068,13.184604,0.9311905,,,NOT_AVAILABLE,5253.25,1.9918
5.11193E+17,26.53541306,0.025726477,61.11190673,0.028982281,0.320199794,0.038611677,8.292823,15.727158,1.0017843,,,NOT_AVAILABLE,5159.8696,
5.11194E+17,26.53107772,0.020657302,61.16516936,0.022862991,0.325302089,0.031276625,10.400805,14.908985,1.0590477,,,NOT_AVAILABLE,5149.053,
5.11193E+17,26.59132633,0.018319041,61.1627205,0.021227087,0.324308979,0.030288132,10.70746,15.1026945,0.9633827,,,NOT_AVAILABLE,5346.25,
5.11194E+17,26.55882434,0.032473802,61.15981676,0.036972559,0.554987676,0.053192448,10.43358,16.469515,1.594245,,,NOT_AVAILABLE,4442.3335,
5.11193E+17,26.60531876,0.02243089,61.15765533,0.02544385,0.332802614,0.03565337,9.334394,15.505099,0.9822912,,,NOT_AVAILABLE,5287,
5.11194E+17,26.51767698,0.050727235,61.15976077,0.053175317,0.481578785,0.078440804,6.1393914,17.027805,1.596611,,,NOT_AVAILABLE,4350.105,1.8597
5.11192E+17,26.61277448,0.041901377,61.09149575,0.045123515,0.34597929,0.065816544,5.2567225,16.785631,1.2962036,,,NOT_AVAILABLE,4894.75,2.1875
5.11192E+17,26.65136862,0.061213434,61.04480759,0.071652781,1.302957806,0.100802474,12.925852,17.618984,1.9902496,,,NOT_AVAILABLE,,
5.11194E+17,26.5279313,0.028873365,61.15856868,0.031139023,0.262253524,0.043689626,6.00265,16.034174,1.1658945,,,NOT_AVAILABLE,4949.625,
5.11192E+17,26.65868564,0.020665418,61.09241079,0.023059708,0.954667449,0.033422325,28.563765,15.394517,1.3355799,,,NOT_AVAILABLE,4682.2197,1.105
5.11193E+17,26.59154405,0.038880501,61.15649132,0.04397616,0.365830535,0.062129442,5.8881993,16.521902,1.2182112,,,NOT_AVAILABLE,4910.393,
5.11192E+17,26.60912468,0.074064028,61.09666222,0.07838046,1.902374329,0.11562613,16.452806,17.754467,2.2651157,,,NOT_AVAILABLE,,
5.11193E+17,26.51266296,0.025164976,61.06979731,0.029679086,0.269068985,0.043197659,6.2287865,15.890566,1.0606909,,,NOT_AVAILABLE,5101.88,
5.11189E+17,26.77531575,0.131994803,61.07493831,0.141024172,1.274839005,0.200736893,6.3507957,18.82981,2.2363892,,,NOT_AVAILABLE,,
5.11191E+17,26.45577579,0.113900505,61.06023709,0.116612325,0.920011813,0.17385745,5.2917595,18.611277,2.1088982,,,NOT_AVAILABLE,,
5.11192E+17,26.6416545,0.04789023,61.06274745,0.054535239,0.439195322,0.07761377,5.6587296,17.181965,1.5547295,,,NOT_AVAILABLE,,
5.11191E+17,26.50594147,0.037235592,61.04542267,0.045054085,0.608004188,0.069242524,8.780792,16.82914,1.629736,,,NOT_AVAILABLE,4339.253,
5.11191E+17,26.48362627,0.169433524,61.03310623,0.185851043,3.114449225,0.269645283,11.550171,19.300758,2.9087086,,,NOT_AVAILABLE,,
5.11192E+17,26.68024091,0.020912854,61.06807897,0.024106814,0.278091613,0.035544072,7.8238535,13.062481,2.4026623,-30.37904774,0.549385865,NOT_AVAILABLE,3921.315,1.9
5.11193E+17,26.56394151,0.030375955,61.07426526,0.034591698,0.396679123,0.051690088,7.6741815,16.428675,1.2551947,,,NOT_AVAILABLE,4904.8027,1.954
5.11193E+17,26.46684684,0.02450513,61.1027279,0.027239801,0.216991645,0.042558239,5.098699,15.655138,1.1870852,,,NOT_AVAILABLE,4879.3335,
5.11192E+17,26.61114448,0.037527631,61.07483134,0.041497551,0.304984423,0.06058659,5.03386,16.698786,1.3858843,,,NOT_AVAILABLE,4925.0723,
5.11192E+17,26.68023571,0.014780066,61.04206955,0.017721836,0.27223408,0.024265057,11.219181,14.361779,0.82019997,,,NOT_AVAILABLE,5802.75,1.5573
5.11192E+17,26.62342287,0.274573415,61.10825267,0.294830679,3.174361962,0.402210608,7.892288,19.794678,0.24828339,,,NOT_AVAILABLE,,
5.11191E+17,26.48032533,0.018286543,61.05137173,0.020959628,0.576715724,0.03168913,18.199165,15.346551,1.5946732,,,NOT_AVAILABLE,4174.02,
5.11193E+17,26.54511577,0.055462232,61.06952888,0.064045184,0.594775501,0.096060344,6.191686,17.523918,1.6861115,,,NOT_AVAILABLE,,
5.11193E+17,26.54989945,0.021065609,61.05456496,0.023476147,0.297108272,0.036522037,8.135041,15.557001,1.2110662,,,NOT_AVAILABLE,4856,
5.11192E+17,26.6482089,0.177476143,61.06950118,0.183479056,2.691255786,0.252021945,10.678657,18.989674,2.9326687,,,NOT_AVAILABLE,,
5.11189E+17,26.71263809,0.011545678,61.0529255,0.013964916,1.165321557,0.019751298,58.999744,13.313439,1.7502356,,,NOT_AVAILABLE,4192,
5.11191E+17,26.4957864,0.076369469,61.05335745,0.08852604,0.668941071,0.127648712,5.240484,18.011696,1.81283,,,NOT_AVAILABLE,,
5.11192E+17,26.58098326,0.012081326,61.05704083,0.013580167,0.299078732,0.020297437,14.734803,13.810755,0.7116947,,,NOT_AVAILABLE,6322.6665,
5.11192E+17,26.60023377,0.078761372,61.0286874,0.091784119,2.368092374,0.133690693,17.713219,18.088522,2.6440563,,,NOT_AVAILABLE,,
5.11191E+17,26.50772174,0.054019406,61.06257782,0.062733284,0.533122455,0.09483567,5.6215396,17.434212,1.7651997,,,NOT_AVAILABLE,,
5.11191E+17,26.44974267,0.010031287,61.04043848,0.011797859,0.306128438,0.017528196,17.464914,13.267805,0.64684296,,,NOT_AVAILABLE,6504.314,
5.11193E+17,26.57312753,0.031029934,61.13935067,0.036147674,0.823675527,0.053020942,15.534909,16.144995,1.49961,,,NOT_AVAILABLE,4427.1304,1.3915
