source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
511217695122227968,26.640886520752154,0.01455012121215159,61.22612017247424,0.018949619242882965,0.35700809702407893,0.025427184099041083,-1.0101954409089995,-0.39506504678915055,14.589042,0.97125435,,,"NOT_AVAILABLE",5276.42,2.0603
511240509989871104,26.49678446223641,0.02603591713414753,61.1720268680508,0.03072357691687008,0.27503976157357735,0.04408049264450744,-1.094642256537905,-0.5023047268659858,15.948136,1.1099806,,,"NOT_AVAILABLE",5080.0,
511218004360191232,26.79301606964381,0.01340062800087295,61.20684467120043,0.015758145729977857,0.3102208723874452,0.02337172927799808,-1.0321185914184137,-0.3893173405758231,14.143019,0.9138527,,,"NOT_AVAILABLE",5516.0,
511211613448727808,26.87132092320567,0.014860120528056743,61.037391168429274,0.01774269924283538,0.32427331610028737,0.024608477389297653,-0.9560309532879812,-0.1519886673154977,14.221492,0.7780256,,,"NOT_AVAILABLE",5899.8965,1.207
511216973567780608,26.6624256753538,0.018870340225546223,61.17959716708673,0.022520527398519483,0.31668788403216114,0.03205022913146817,-0.7783769900487161,-0.6175143462690464,15.422638,1.0266132,,,"NOT_AVAILABLE",5253.835,
511216904848308736,26.6017165020599,0.01359225309413547,61.17702094114388,0.014369500662416603,0.30066476483961607,0.02088924475136845,-1.1821026488829374,-0.2629071176959705,13.414496,0.9008398,,,"NOT_AVAILABLE",5426.263,2.245
511241575141754496,26.39214519423174,0.027289369835614644,61.19484119675165,0.032037313029925234,0.41161192434439126,0.04499428174945152,-1.8470197345502555,-0.06331909463802782,16.051449,1.287777,,,"NOT_AVAILABLE",4747.41,
511240853587248640,26.427279965030873,0.016290027564884214,61.19417662317192,0.01883478970230137,0.3376773605704736,0.02623717782251916,-1.0810531024692411,-0.34267858148490954,14.740428,0.98164845,,,"NOT_AVAILABLE",5216.3335,
511218622835109632,26.881290240619123,0.04808902264868191,61.2659371387703,0.05511671090414715,0.43191666058834344,0.08177889466303034,-1.4470172069065257,2.0887874182597717,17.269701,1.7142639,,,"NOT_AVAILABLE",,
511216183293802624,26.715043460159226,0.05373982359090408,61.174155473531535,0.06151609924878207,0.5103325679534939,0.09207521519445924,-2.284016001977121,-1.8386315804667035,17.38453,1.7815628,,,"NOT_AVAILABLE",,
511240716148293888,26.497671108074773,0.030711006257760513,61.19409302844377,0.03436369491167952,0.2748399250460614,0.05078940686247493,-1.112641397283804,-0.13671175646952394,16.33339,1.288763,,,"NOT_AVAILABLE",4857.2876,
511218622835106176,26.898138812544374,0.021769109199978973,61.26839525717134,0.0260962669402718,0.35410942091232095,0.037845267027732665,-1.1236320394576507,-0.12601817197684012,15.70625,1.1769562,,,"NOT_AVAILABLE",4870.19,
511240887946986240,26.46304224042416,0.03763586736815732,61.19428071222412,0.043351419075644666,0.5071695467033837,0.05761518033028591,0.2918868435325197,-0.818234742531138,16.688353,1.6582279,,,"NOT_AVAILABLE",4139.563,
511240647428817792,26.529059590907902,0.020640937948876538,61.19237797159299,0.022489243823840117,0.30916084686795003,0.03800165215678697,-1.4578859011856187,-0.08515428381163206,15.198187,0.9986057,,,"NOT_AVAILABLE",5250.0,
511233294444641920,26.174378441175698,0.018141925785614063,61.079866525129184,0.020880126097888686,0.41498154561479433,0.03264699905811672,-1.38403465304435,0.6643830281528951,15.206895,1.4110155,,,"NOT_AVAILABLE",4418.0366,
511240647428954112,26.52594802955484,0.04046054107466758,61.19368596814144,0.048550262464648636,0.40619126189901694,0.06957554575046282,-1.138950242627772,-0.37810179329758864,16.867014,1.4082737,,,"NOT_AVAILABLE",4482.0,1.7643
511219138231182080,26.710579125312126,0.031966850299977874,61.27315883504714,0.03899401398847945,0.3930995191242594,0.06012646359356595,-1.103233667107594,-0.14687026930798938,16.539728,1.3317204,,,"NOT_AVAILABLE",4886.1763,2.3997
511218554115629696,26.828433981106514,0.028803090048596932,61.27022230841945,0.035985935878071675,0.3565747329575543,0.05227660788178437,-1.057196318895917,-0.21694929155695503,16.385805,1.3097677,,,"NOT_AVAILABLE",4920.0,
511240647428819968,26.529049659229337,0.036114035683370876,61.18637134087132,0.03998888137115502,0.4308440711055993,0.06011125390724696,-3.501528271797217,0.4996017872598436,16.649185,1.6382084,,,"NOT_AVAILABLE",4201.0,
511225666581399168,26.823157920874642,0.012825933155005248,61.35063514451598,0.016186753533635363,0.3134672907483965,0.023723372416204553,-1.1871078037119172,-0.03602695855400715,13.822218,0.90407085,,,"NOT_AVAILABLE",5668.63,
511240613069082496,26.512251652653287,0.0276478665081159,61.18310923594561,0.03309862377050531,0.29713959984941857,0.04951521308603678,-1.1370752937018642,-0.28198946882356846,16.164585,1.1712818,,,"NOT_AVAILABLE",4889.0,
511236249382118272,26.141004643230318,0.01094276481770132,61.10235191048643,0.012833242831362791,0.39205688894351287,0.018828636262891163,-1.1409373730742023,-0.5501541927577934,13.183967,0.70316887,,,"NOT_AVAILABLE",6276.0,
