source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag
511240681788557824,26.47604619818733,0.025496025098096682,61.18972574041681,0.029515242510062465,0.309518391052904,0.04042200539065301,-1.1433560030967787,0.04167075172903494,-0.15940981434269147,0.06017330900149964,15.80453
511219069511711360,26.72571408393045,0.018078218711240393,61.268407881353035,0.021839230092821748,0.32308749606643755,0.031833334106509084,0.7487896854043502,0.030119954535736834,-0.3587577215239082,0.04375482988847018,15.406176
511227247129312256,26.949378945672834,0.054025361389885486,61.45695932356202,0.06161368273372427,0.5044586250150594,0.09777873814112542,2.432894697815416,0.09548559429770423,-0.1957354585873879,0.13071049437008636,17.420807
511217901280607744,26.62071153221614,0.013936783693845765,61.27028460623764,0.0164082561075767,0.30699076398278347,0.024405478694008408,-0.669217787693221,0.02270407104023414,-0.2538086726273897,0.031762515405765426,14.195295
511219172590926848,26.741893301579427,0.02635889243492148,61.26743008149754,0.031026564688201877,0.3119580885170159,0.04532499805575679,-2.112043820258156,0.04339999744072897,-1.0836022800349383,0.0614381637703067,16.110146
511227556366958208,26.98800679993299,0.02680716129342067,61.45354522586135,0.03196763610638374,0.41433718581732204,0.04914460174617485,-0.3795964568855209,0.047708838273899684,0.9618391112093418,0.0678648658791204,16.251669
511219103871450496,26.690278464329996,0.014552247387029779,61.26852624647615,0.017878950542638182,0.29612184464469066,0.026006037510993868,-1.0225141963068107,0.023856324198031402,-0.1861206233273229,0.03503671162907873,14.644346
511216664330107392,26.702034449664353,0.031769482653264985,61.20018704695531,0.037906825652660195,0.2746563603234802,0.05460745726840144,-1.2228354295984265,0.05551545105793524,-0.29914357567402594,0.07881350394468012,16.489616
511241712580840448,26.415064151120998,0.017137782523635816,61.21642123302678,0.02198824963623969,0.31867574565155155,0.029938580001003537,-1.1224110826541973,0.03113718835542841,-0.17641767129851577,0.048015756502754386,12.238015
511211407290300416,26.909356698479883,0.01586137409756013,61.031205957025385,0.01961780540183333,0.26955460655431374,0.02727865025936317,-1.2970888509467582,0.02872067163775813,-0.24448526945988347,0.04322734608962978,14.988729
511235596547170560,26.05902820861937,0.02962173746499428,61.021449276696465,0.03539557696370255,0.45414845250274904,0.053961594035867394,0.13869081978492248,0.05021955278877773,-1.9747266356614004,0.07129947942844334,16.453169
511217214085915648,26.56355623357438,0.021216769302918007,61.20873271174711,0.026778020749138674,0.34104700432261187,0.03840707888949277,-1.0548890899022005,0.03810250485916106,-0.07758286345060424,0.05409179508239096,15.609594
511214052989995264,26.971163643702145,0.011903290388089773,61.18944540988366,0.014295246987226062,0.2973249800956208,0.02053562721689234,-1.1211424056950614,0.019902470998863886,-0.1526101762418154,0.029100404474403936,13.926944
511225013738251520,26.844777090616166,0.021895329089208552,61.350689938097446,0.027372899350416206,0.30619800625340354,0.037949120981558546,-1.1724410834349377,0.03878482067776266,-0.3687937392347141,0.05947989284419628,10.682309
511244908035989632,26.285172496871752,0.01745699757699768,61.262969779453734,0.02011400557665937,0.3371569919406969,0.026998388926224914,-1.0977551063688435,0.030285271635758518,-0.18317700555317856,0.0399338648682015,15.037447
511255834432795520,25.919303982823582,0.02338928887428784,61.2679723787011,0.027754618563965133,0.3462776303151085,0.03858978307281851,-3.0896383469916175,0.04124477141528937,-0.5956248274577964,0.0562242836250466,15.886138
511217076646970240,26.623696163292305,0.01136866740482315,61.20082542021383,0.013248916965390234,0.32258282399788535,0.019184086197245792,-1.1523764406292014,0.020370824699921693,-0.2564731425265318,0.0288603739166314,13.213484
511241575141886848,26.376872950150688,0.030816292356934328,61.205185646616414,0.037926945787857644,0.499771334771077,0.04937804116536518,-0.7916986649193423,0.05437949105757928,-6.243552548562283,0.08035890275337214,16.207506
511219133930804864,26.709609849279982,0.016789121503830183,61.26448490173254,0.0202284473975327,0.3392461988916717,0.028645194680133036,-1.1573904659955239,0.026863114698910572,-0.03643793777066978,0.039166376374915504,14.539421
511221509053134848,26.96295491019649,0.01799624696341432,61.2617275066624,0.022314026723957114,0.2687428956700012,0.03190660645038697,-1.0050670751462516,0.029777196776456377,-0.20434081078830896,0.04501518751362393,15.326734
511243494980287872,25.99320162605583,0.06005388803015164,61.17531038086266,0.06653318760549613,0.5173346039743051,0.09979617606488998,-2.9522293245884663,0.10557963422790041,0.6169218809720076,0.1362803178316798,17.627785
511255486529039488,25.975577335375625,0.06038642235333358,61.23694651992664,0.06854776768652315,0.48455900234342497,0.09596872896233805,-0.528143923650665,0.10906615254367019,-0.18983184821946936,0.14948468290407668,17.528074
511214808904237184,26.948307206604788,0.027284329221826685,61.19202496112575,0.03146846672661106,0.27046988832234464,0.04606003010920751,-1.4027791224959096,0.04542428889693117,-0.2230919184348441,0.06411014651915929,16.17736
511246282425448320,26.13973950212569,0.043632059579375805,61.337640398844265,0.0533208074383,0.45245931075559676,0.07311354156258047,-2.0731926050368625,0.08083141772021821,1.9438750616893365,0.11134105436745201,17.165766
511221474693367296,27.023509723466066,0.012029390643144539,61.288871886161395,0.014933407395456557,0.3299344972739447,0.020568473450505338,-0.834565895343147,0.020714031698562792,-0.26403748298311824,0.030431918564261848,13.877787
511216492531418368,26.7641008170376,0.023447811900816275,61.19619079093346,0.026505279267919006,0.30365850788672333,0.038852566799766605,-1.1650095589736211,0.03949144173672765,-0.3098151087769039,0.05450474580882786,15.794461
511219413109066624,26.65450576863014,0.015069469296875965,61.29870812827671,0.01767221383504245,0.3341814895296799,0.025466517570409755,-1.1881342421485548,0.025234748545156508,-0.20975971536197194,0.035613084629057504,14.872686
511231782616237952,26.295565465229593,0.01929867008207146,60.98721678075961,0.021854642379475153,0.48071920190250794,0.033097478878968266,1.2846592603551723,0.03300539885795888,-1.1360284876937516,0.044944741946531266,15.585544
511217076646976256,26.649870249619052,0.017876861620555642,61.195804521472816,0.019359834391882522,0.28841396584786183,0.026948310904687852,-1.1130265731393862,0.03047415571583769,-0.29851926190112615,0.04068902868087078,14.908979
511218897712992128,26.84260774629025,0.018085188188128192,61.29132719495003,0.022015572702256056,0.41036727772025317,0.030730473562868288,1.4281425362792266,0.03217791427038897,-2.3653610767588975,0.04705546927153186,15.287754
