source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
511240613069083520,26.51123352525363,0.02745510868974701,61.18019418023507,0.03195203910808129,0.2723377814609272,0.04778182934802519,5.6996098,16.196903,1.3109007,,,"NOT_AVAILABLE",4908.5,
511217557683252096,26.69807520002313,0.01229420097349234,61.241782270204844,0.014976862438077687,0.2851844038703275,0.021626708804102796,13.186676,14.0723715,0.9171858,,,"NOT_AVAILABLE",5333.1,
511217763841675008,26.599719269802453,0.01245680554379966,61.25314282009459,0.015142965889200326,0.33877641695933114,0.022273595493403107,15.209777,13.79742,0.8885298,,,"NOT_AVAILABLE",5486.0,
511239341758537216,26.21197815640994,0.02964863244358188,61.12653911408139,0.03430782629693397,0.47149242747989356,0.052738253225435315,8.940236,16.34215,1.9928818,,,"NOT_AVAILABLE",3721.125,
511239410478014080,26.31989501217095,0.020189129350295352,61.123645544995334,0.022751974433977626,10.801839418656193,0.03564188073787295,303.06592,13.004204,2.0105858,-72.32684374568717,0.8031470060170722,"NOT_AVAILABLE",4081.3152,0.689
511218244878011904,26.77214491219659,0.013351026093969863,61.24833189769184,0.015940908540497612,0.30751726162673926,0.023183746209938617,13.264347,14.51511,0.94885254,,,"NOT_AVAILABLE",5223.5,
511216836128861696,26.64152301250657,0.01826758111258159,61.15065238548707,0.021766487872333595,0.2752637954103827,0.031217711540217834,8.817552,9.926215,0.8240776,,,"NOT_AVAILABLE",5806.6665,
511218687257039360,26.857515049222823,0.10799262398757672,61.28715223806563,0.12003250757119148,0.8592081102668798,0.1704819167844073,5.0398784,18.200293,1.659832,,,"NOT_AVAILABLE",,
511241433398141312,26.330888668121922,0.1192298891368139,61.20041128023141,0.13167946849278458,1.0792781488408338,0.19790741166773781,5.4534497,18.696997,2.291792,,,"NOT_AVAILABLE",,
511239479197490560,26.296554866944497,0.013684892603010802,61.12438589286599,0.015121938797090654,0.3366712116297427,0.02290806591591204,14.696623,14.02073,0.84751034,,,"NOT_AVAILABLE",5695.5,
511239479197489664,26.2918039615415,0.03013275457640244,61.12492549178199,0.033768086162089504,0.3098917769124177,0.05182595168141911,5.979471,16.396303,1.2670546,,,"NOT_AVAILABLE",4827.89,
511219103871468288,26.693613337224345,0.01901778742744989,61.25330207804912,0.02320887802512676,0.2680337501216323,0.03153608095370076,8.499272,15.25395,1.044858,,,"NOT_AVAILABLE",5193.35,
511218176158532992,26.811595867360214,0.01793052350122066,61.24943856487725,0.02182634837462686,0.34064939819987233,0.03169168780738039,10.748857,15.368516,0.9952564,,,"NOT_AVAILABLE",5313.1104,1.2375
511219069511730176,26.737976896391086,0.03518001785745226,61.25190772580667,0.041489745405572015,0.6163305449201896,0.059899269425935264,10.28945,16.680182,1.729948,,,"NOT_AVAILABLE",4150.0,1.9227
511245075527864192,26.29474691762793,0.01986091919056455,61.28350178638429,0.02230695258335908,2.112952989663609,0.029513500203911077,71.59276,10.257889,0.39696884,,,"NOT_AVAILABLE",7410.4023,0.885
511242262336291328,26.17600721897631,0.07211097214274843,61.13311032743397,0.08041306144888609,2.169388992289828,0.12528835550170225,17.315168,17.95013,2.5319157,,,"NOT_AVAILABLE",,
511216114574350208,26.672846513031644,0.02422358605804425,61.153972577098116,0.028683864124138616,0.24854393330753602,0.039972441188285565,6.217882,13.827752,2.8204622,-13.94625992449042,1.0857168896362863,"NOT_AVAILABLE",4162.98,2.36
511244736237311616,26.21666888432399,0.016797913435822508,61.251320409004016,0.019448117412331045,0.4518510671570482,0.0273256259044308,16.535799,12.483703,1.5675077,-30.40205060071483,3.562180990685542,"NOT_AVAILABLE",4359.723,0.649
511219718040946688,26.7895560536332,0.016542032633580613,61.31173891099883,0.020549543459240024,1.7677868883227874,0.029855093177812923,59.21224,12.263566,1.2697315,,,"NOT_AVAILABLE",5051.0,
511215530458684544,26.873322352905785,0.015013823164259933,61.23985633012505,0.017899880128781454,0.3245258602050957,0.025723667416306745,12.615848,14.828752,0.91533566,,,"NOT_AVAILABLE",5545.31,
511241021079131776,26.338467275300246,0.1362118469580378,61.165082108193545,0.13814906180178813,1.263210435154561,0.20970557914171448,6.023733,18.677067,2.2731342,,,"NOT_AVAILABLE",,
511218279237754240,26.73566890869414,0.031839191564521176,61.2438700427696,0.03634929039441206,2.17701736898177,0.05257617538874795,41.406918,16.315174,1.9989138,,,"NOT_AVAILABLE",3705.6667,
511218893407227264,26.849363461485318,0.010931690422078102,61.295851272019625,0.013295281171936135,0.47683241772030993,0.018435289711543013,25.865198,13.6170025,1.3264551,,,"NOT_AVAILABLE",4838.71,
511242262336292736,26.192457565710107,0.26090986884656514,61.1313467058345,0.28314943015569705,2.8358054124492575,0.4338115374325673,6.5369525,19.792568,2.550518,,,"NOT_AVAILABLE",,
511239650996178560,26.25224203137095,0.02662173306103551,61.128811949701834,0.031020992948023095,0.36009956145963473,0.04835932041206051,7.446332,16.091373,1.2063942,,,"NOT_AVAILABLE",4882.15,
511244701877574784,26.162798310493336,0.01559000336027578,61.25127162720537,0.019191498348916997,0.41402916130221556,0.02677479055443485,15.463395,14.910986,0.88970566,,,"NOT_AVAILABLE",5445.85,
511213297075809664,26.842879880006706,0.032769160757147725,61.144859917473774,0.03734684305899432,0.4414356718544759,0.0546056949471399,8.084059,16.506926,1.8224468,,,"NOT_AVAILABLE",3944.5566,2.582
511219035151992320,26.726765282145173,0.058330678386107095,61.251493798152104,0.06753927800870486,0.5764494760445025,0.09736424011949942,5.920546,17.541758,1.8456554,,,"NOT_AVAILABLE",,
511244873676267392,26.284171204429942,0.07591259818166979,61.246678271899164,0.08489730125504018,0.9141331457125814,0.125932330027321,7.2589235,18.010527,2.0771503,,,"NOT_AVAILABLE",,
511244736237313536,26.204868709912283,0.020896027702984547,61.24980423520031,0.024792229671162923,0.40867948746936744,0.03492335566062452,11.702183,15.724557,1.5677872,,,"NOT_AVAILABLE",4360.53,2.1747
511217866920891136,26.623205794114337,0.027455931134528058,61.251279110552346,0.03298355848656333,0.30891630088538813,0.04724659217270285,6.5383825,16.17555,1.2112932,,,"NOT_AVAILABLE",4919.0,
511215564818421248,26.907442526766133,0.034743740746663795,61.24165657413502,0.04089715447036524,0.3911345389808946,0.06049950500332205,6.4650865,16.700964,1.3296509,,,"NOT_AVAILABLE",4682.2197,1.962
511219035151995776,26.705859479647337,0.013022848249465955,61.24879005923742,0.01588930305441956,0.34952556572489324,0.022085598588895142,15.82595,14.201165,1.0540991,,,"NOT_AVAILABLE",5226.6133,
511219035151995904,26.709103854979762,0.016038555477504178,61.24855866727339,0.019712643844423818,1.2380207699555124,0.02747961218608367,45.052338,14.918717,1.341753,,,"NOT_AVAILABLE",4695.1553,1.1463
511218412373541504,26.751813464944735,0.14593685588589828,61.26018374194795,0.17356544112614355,1.797547005941997,0.26699273589843825,6.7325687,19.13877,2.716278,,,"NOT_AVAILABLE",,
511242945224483840,26.15879797593219,0.07825065677103916,61.17722019158864,0.09160464154883763,0.8188792066793256,0.12740210722938994,6.427517,18.068571,1.9412727,,,"NOT_AVAILABLE",,
511218485396182912,26.86361944923231,0.013002207490825122,61.24286687189357,0.01553339804356056,0.3169195358317475,0.021639699570064452,14.645284,14.150747,0.8731861,,,"NOT_AVAILABLE",5557.5,
511245457791812864,26.164544014154114,0.026632320095767804,61.257190427070675,0.030650661353788793,0.4053416969648104,0.04327917781884274,9.365744,16.104076,1.1634159,,,"NOT_AVAILABLE",4935.0,
511213193996592512,26.861521329748044,0.01820066100320367,61.14559095991065,0.020415252036336075,0.3696011382296117,0.02904042271458153,12.727127,11.332869,0.857893,,,"NOT_AVAILABLE",5757.75,
511213365795283456,26.82074225699029,0.02126311114366919,61.147688588150956,0.023871181637094247,0.2614210977032224,0.03450748196550794,7.5757804,15.480889,1.3223448,,,"NOT_AVAILABLE",4682.7266,
511245457791813376,26.154927578707014,0.1213963032462108,61.257193900458084,0.13631208398164016,1.3572621325007017,0.20639782021172878,6.575952,17.722445,2.4282837,,,"NOT_AVAILABLE",,
511215942775662208,26.726968657145832,0.035751229480120786,61.149104881799396,0.04196585023559109,0.6618865589042592,0.062064939610161574,10.664419,16.673334,1.6992779,,,"NOT_AVAILABLE",4188.4697,
511217763841681536,26.61025152981206,0.017574474026915213,61.244397801227926,0.021467431458245062,0.32092243412115534,0.029983593608072935,10.703268,12.231321,0.78906155,,,"NOT_AVAILABLE",5989.8447,
511217828255340672,26.643889067663572,0.018599414896666992,61.26249708863497,0.022250927994810474,0.3551981012911438,0.032843269745570565,10.814943,9.089069,0.8621988,,,"NOT_AVAILABLE",5779.5,
511226010178760448,26.751671175657066,0.045215942818048506,61.391367619016066,0.05100351780427712,1.4251467843494727,0.07731978866192876,18.43185,17.178915,2.2264862,,,"NOT_AVAILABLE",,
511219069511730048,26.729976024331226,0.01539892180287393,61.252199568370976,0.019173935343286635,0.24463667119494623,0.027133018531813945,9.016198,14.819607,0.98825264,,,"NOT_AVAILABLE",5324.0,
511217592042989824,26.660290538640698,0.03789151386480833,61.2431466663526,0.04392288716197421,0.35885595175169027,0.05739887800740832,6.251968,16.420298,1.2592897,,,"NOT_AVAILABLE",4896.8877,
511242709012854016,26.206847857233726,0.035316496042334354,61.16104469150569,0.03848974794440698,0.32667125120691864,0.05828394008439799,5.6048245,16.641768,1.3662109,,,"NOT_AVAILABLE",5032.0,
511215972831877888,26.74701810071054,0.017263988742215162,61.154166650924054,0.020493349504058907,0.3412173033393579,0.029671434080289282,11.499859,15.008666,1.0951662,,,"NOT_AVAILABLE",5013.9067,2.1335
511216836128854144,26.638061882742978,0.020424337362231038,61.15617710301419,0.024547417834355902,3.4029444814191847,0.03462958847960083,98.26696,15.353837,1.914422,,,"NOT_AVAILABLE",3834.0,0.6732
