26.33056,61.22408,-3.6637,0.1999,-0.9621,0.201,3.788,0.2,97.357,1.5126
26.59133,61.22419,-3.4906,0.0948,-0.6161,0.0951,3.5446,0.0949,95.0048,0.7666
26.52546,61.22754,-8.0793,0.059,-1.0243,0.0577,8.144,0.059,93.6128,0.2075
26.64828,61.22754,-4.0989,0.1598,-1.0165,0.1604,4.2231,0.1598,96.9638,1.0843
26.52032,61.22825,-3.5697,0.0234,-0.8643,0.0234,3.6728,0.0234,96.8053,0.1826
26.55841,61.22883,-4.0421,0.3267,-0.3238,0.3276,4.0551,0.3268,92.2899,2.3084
26.6192,61.23067,-3.6546,0.1988,-0.7891,0.1997,3.7388,0.1989,96.0919,1.5239
26.6098,61.23277,-4.113,0.1648,-0.5667,0.1655,4.1518,0.1648,93.9222,1.1369
26.60089,61.23385,-4.3783,0.2232,-0.758,0.2244,4.4435,0.2232,94.9112,1.4391
26.66598,61.23404,-6.4057,0.0756,-1.6668,0.0745,6.619,0.0755,97.2925,0.3269
26.48363,61.2348,-3.7351,0.0243,-0.4817,0.0243,3.766,0.0243,93.674,0.1848
26.66237,61.23502,-3.3432,0.0594,-0.6008,0.0596,3.3968,0.0594,95.0938,0.5013
26.61208,61.23645,-4.3408,0.1055,-0.4171,0.1057,4.3608,0.1055,92.7441,0.6929
26.73105,61.23822,-1.4191,0.2973,-0.7895,0.298,1.624,0.2975,104.5436,5.2475
26.58426,61.23933,-3.6091,0.1023,-0.5889,0.1029,3.6568,0.1023,94.6341,0.8014
26.62758,61.24146,-3.8468,0.1509,-0.189,0.1514,3.8514,0.1509,91.4062,1.1226
26.69694,61.24203,-3.2577,0.5658,-0.932,0.5748,3.3884,0.5665,97.9829,4.7896
26.61023,61.24442,-3.5422,0.1507,-0.6396,0.1514,3.5995,0.1507,95.1175,1.1992
26.45125,61.24658,-3.7993,0.0731,-0.8428,0.0735,3.8916,0.0732,96.2537,0.5386
26.3865,61.24674,-1.9813,0.0761,-0.6928,0.0764,2.099,0.0761,99.637,1.0388
26.71854,61.24724,-3.586,0.234,-0.6653,0.2357,3.6472,0.234,95.2549,1.8382
26.58344,61.25586,-2.5996,0.2088,-0.1366,0.2091,2.6031,0.2088,91.5038,2.2978
26.59905,61.25829,-2.4142,0.0162,-0.4315,0.0162,2.4525,0.0162,95.0666,0.189
26.64382,61.26252,-3.2582,0.0235,-1.465,0.0235,3.5724,0.0235,102.1049,0.1882
26.64798,61.26331,-3.4104,0.0278,-1.0422,0.0278,3.5661,0.0278,98.4966,0.2237
26.58168,61.26362,-3.9912,0.0903,-0.5358,0.0906,4.027,0.0903,93.8233,0.6425
26.71102,61.2657,-3.4062,0.08,-0.3234,0.0801,3.4215,0.08,92.7121,0.6697
26.52626,61.27535,-4.2064,0.0846,-1.194,0.0849,4.3725,0.0846,97.9233,0.5542
26.64034,61.27995,-3.5681,0.2706,-1.2245,0.2726,3.7724,0.2708,99.4706,2.0563
26.48937,61.28145,-0.2165,0.038,-0.0387,0.038,0.22,0.038,95.0715,4.9453
26.67441,61.28719,-3.6592,0.2542,-1.0137,0.2561,3.797,0.2544,97.7423,1.9191
26.37253,61.30255,-0.5255,0.0692,0.0422,0.0694,0.5272,0.0692,87.7046,3.7584
26.52125,61.30783,-3.3667,0.0556,-0.7671,0.0557,3.453,0.0556,96.4178,0.461
26.40248,61.30992,-1.1391,0.3124,-0.1068,0.3149,1.1441,0.3124,92.6774,7.8228
26.47356,61.32087,-3.0283,0.0351,-1.1789,0.0351,3.2497,0.0351,100.6357,0.3092
26.35273,61.31973,-2.6433,0.2754,-1.3917,0.2771,2.9873,0.2758,103.8829,2.6446
26.714,61.32434,-1.3873,0.1531,-0.0866,0.1535,1.39,0.1531,91.7866,3.1557
26.69886,61.33591,-4.2712,0.0915,-1.2036,0.0918,4.4375,0.0915,97.869,0.5909
26.74446,61.12656,-2.9822,0.3059,-1.7091,0.3075,3.4372,0.3063,104.9082,2.5525
