dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,r20151003_oid,col1,col2
4.68E-04,1.63572E+18,Gaia DR2 2014636568621898752,2.01464E+18,1369654973,2015.5,343.5459933,1.39714903,60.81333647,1.434782506,-1.789517621,1.391368787,-1.2861562,0.15990249,3.031882762,5.43742432,3.350968995,0.29184705,0.10628331,-0.40670615,-0.23695299,0.06760741,-0.25490373,-0.47542387,-0.048269663,0.09762772,0.33039585,83,0,83,0,2.7737088,117.1492,4.442018186,2.904550491,31,FALSE,0.015836332,1.04050571,0.353326306,0.22853485,10,10,3.374206,0,14,FALSE,111,83.29005049,0.961671798,86.60964,20.886883,0,,,,,0,,,,,,2,,,,,,0,,,,NOT_AVAILABLE,109.1163862,1.126201342,25.24700019,58.86352506,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636568621898752,,57,343.5468,60.81359
4.12E-04,1.63572E+18,Gaia DR2 2014636671699476480,2.01464E+18,99873366,2015.5,343.5583734,0.228019353,60.81883065,0.233340772,0.315671161,0.27597222,1.1438513,-2.183207181,0.507707495,-1.357905664,0.471747677,0.13301004,0.21518986,-0.20599757,-0.09294316,0.13460775,-0.16351411,-0.059356876,-0.03926213,0.2530798,0.20639811,277,0,275,2,3.4357915,357.16495,1.042108864,2.317561183,31,FALSE,0.1480115,1.320985205,0.064640503,0.038265295,32,19,0.4807275,0,35,FALSE,292,325.6675839,0.909991727,357.87973,19.40643,27,90.8176889,6.630592056,13.696769,20.455961,28,462.6590034,8.097728237,57.13442,18.098768,1.6995143,0,2.357193,1.0495319,1.307661,,,0,,,,NOT_AVAILABLE,109.1242152,1.128516165,25.26272012,58.86277996,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636671699476480,,62,343.5577,60.81908
3.57E-04,1.63572E+18,Gaia DR2 2014636568620248320,2.01464E+18,1113920520,2015.5,343.5454289,0.124438457,60.82029223,0.113201819,0.053885567,0.144405669,0.3731541,-4.803047333,0.284473844,-2.664813505,0.224514177,0.062430818,-0.069577195,-0.44310486,-0.20741794,0.22323366,-0.095881104,-0.04811002,0.14055178,0.34401414,0.3399507,258,0,257,1,6.654843,431.91486,0.690950289,4.952558845,31,FALSE,0.6397798,1.283594136,0.031774866,0.038500216,30,17,0.27787504,0,35,FALSE,272,1107.676546,1.679926104,659.3603,18.077333,8,298.7785799,14.54882081,20.536274,19.163015,10,1523.759375,55.5216366,27.444426,16.804628,1.6453701,0,2.358387,1.0856819,1.2727051,,,0,,,,NOT_AVAILABLE,109.1191705,1.132581695,25.25656692,58.86842316,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636568620248320,,64,343.5447,60.82033
4.43E-04,1.63572E+18,Gaia DR2 2014636568624031744,2.01464E+18,1333220583,2015.5,343.5443142,0.031602172,60.82073129,0.041014431,0.386079598,0.040158034,9.614006,-2.96597775,0.064624822,-1.584199884,0.069943517,-0.052212078,0.08140442,-0.34479195,-0.015775098,0.22955878,-0.07792445,-0.37960255,-0.14267743,0.11683352,0.056262035,267,0,267,0,3.5846121,352.10742,0.142302495,1.463913789,31,TRUE,6.922314,1.360943105,0.009950491,0.020864295,31,17,0.07379341,0,36,FALSE,292,7327.197514,5.663645401,1293.7246,16.02602,22,1856.298375,17.35468099,106.9624,17.17977,24,8879.817281,41.49135587,214.01608,14.89091,1.4652418,0,2.2888594,1.1537495,1.1351099,,,0,,,,NOT_AVAILABLE,109.1188726,1.133213738,25.25648404,58.86912054,100001,3539,3432.25,3960.1226,2.4963,2.243,2.7621,1.2705,1.133,1.4111,200111,5.6190767,4.487545,5.974042,4.4621778,3.4044085,5.519947,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636568624031744,,64,343.5447,60.82033
5.31E-04,1.63572E+18,Gaia DR2 2014642542920683392,2.01464E+18,914727577,2015.5,343.4633295,0.565881655,60.82115871,0.594060461,0.019442974,0.682674534,0.02848059,-3.343122879,1.314419609,-3.621096775,1.266814671,0.19876496,0.037152696,-0.1846569,-0.12035729,0.027989343,-0.18894649,-0.34370822,-0.021381417,0.34197378,0.3665309,216,0,215,1,3.2421346,282.88403,2.428314522,2.301889432,31,FALSE,0.031265583,1.037313944,0.1624462,0.1161253,25,16,1.3475205,0,27,FALSE,233,119.2719894,0.858359736,138.95338,20.497019,11,29.96269058,3.874530607,7.733244,21.659937,25,187.6239397,7.733669723,24.26066,19.0787,1.8242894,0,2.5812378,1.1629181,1.4183197,,,0,,,,NOT_AVAILABLE,109.0835266,1.150828227,25.20554136,58.89854946,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014642542920683392,,65,343.4631,60.82064
4.17E-04,1.63572E+18,Gaia DR2 2014636564330330368,2.01464E+18,1288949428,2015.5,343.5439751,0.099840897,60.82177621,0.108352278,-0.057335046,0.12518502,-0.45800245,-2.443849135,0.216393874,-1.732489393,0.202977974,0.12316416,0.044195984,-0.26805812,-0.10596391,0.14196958,-0.102416374,-0.011745886,-0.18160981,0.18243775,0.25705057,263,0,261,2,6.788859,441.42932,0.624752391,4.648467736,31,FALSE,0.75148153,1.296712201,0.029992013,0.07083346,32,18,0.21278806,0,35,FALSE,281,1272.724104,2.000055027,636.34454,17.92653,23,286.7843867,12.53507053,22.878561,19.207499,18,1752.098994,16.22937118,107.95853,16.653023,1.6019838,0,2.5544758,1.2809677,1.2735081,,,0,,,,NOT_AVAILABLE,109.1191793,1.13422625,25.25775961,58.86994777,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636564330330368,,66,343.5433,60.82152
5.41E-04,1.63572E+18,Gaia DR2 2014636671701114368,2.01464E+18,1287625528,2015.5,343.5505045,0.71210467,60.82225741,0.718581756,0.232468375,0.723630112,0.32125303,-3.810906054,1.465982784,-2.018049909,1.480891324,0.24116981,0.21033846,-0.5060978,-0.081073694,0.28393248,-0.08510337,-0.50149,0.08813073,0.13737929,0.20927136,154,0,152,2,2.300345,189.28545,0,0.1132211,31,FALSE,0.041850828,1.376572553,0.166135068,0.20331402,18,12,1.4848924,0,22,FALSE,173,107.8855555,1.031718733,104.56876,20.605957,14,59.25879198,9.896131996,5.988076,20.919506,16,221.4161541,8.576125159,25.817738,18.898897,2.601599,0,2.020609,0.31354904,1.7070599,,,0,,,,NOT_AVAILABLE,109.1222546,1.133272106,25.26260199,58.86792364,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636671701114368,,69,343.5494,60.8222
5.41E-04,1.63572E+18,Gaia DR2 2014636671703247360,2.01464E+18,1170379265,2015.5,343.5607375,0.018297035,60.82512014,0.019352777,0.286654147,0.022402454,12.795658,-2.808058365,0.03784241,-2.020948631,0.035895449,0.03317158,0.1511053,-0.33633074,-0.055650823,0.20461358,-0.113109276,-0.16289692,-0.19026439,0.16691427,0.06457357,307,0,307,0,5.7493916,465.59177,0.154837765,4.837590851,31,FALSE,20.381962,1.375216709,0.005090316,0.05112948,35,19,0.045407835,0,38,TRUE,334,31674.0185,19.2853348,1642.3888,14.436607,34,8499.39855,24.1377234,352.12097,15.527918,35,37155.80114,99.48388434,373.48563,13.336853,1.4414085,0,2.1910648,1.0913105,1.0997543,,,0,,,,NOT_AVAILABLE,109.1279932,1.133675418,25.27319969,58.86617477,100001,3600,3548,3898.95,1.8923,1.7009,2.05,0.948,0.8512,1.012,200111,14.862601,12.670814,15.301451,33.426765,26.568941,40.28459,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636671703247360,,73,343.5608,60.82458
5.29E-04,1.63572E+18,Gaia DR2 2014648766331132672,2.01465E+18,919064500,2015.5,343.5265861,0.020875515,60.8704542,0.0216443,4.258813033,0.025060769,169.93944,15.87722463,0.040976676,35.82587272,0.036664927,0.016528683,0.14414279,-0.475848,-0.04596066,0.34328726,-0.13912569,-0.124775544,-0.23087838,0.20239909,-0.012175828,282,282,278,4,1.6336083,312.249,0,0,31,TRUE,402.06396,1.59315105,0.006003888,0.006906953,32,18,0.032567848,0,36,FALSE,292,407268.8091,64.14064776,6349.621,11.663663,33,209628.7874,197.8916897,1059.3107,12.047761,32,283308.3658,148.6810744,1905.4769,11.131271,1.2103484,0,0.9164896,0.38409805,0.53239155,-12.9095903,0.680315917,11,5500,4.5,0,NOT_AVAILABLE,109.13278,1.18172785,25.3162563,58.90903455,100001,5414,5348,5480,0.212,0.0789,0.339,0.1123,0.0523,0.174,200111,1.0874319,1.061396,1.1144377,0.9153178,0.90611523,0.9245203,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014648766331132672,,91,343.526,60.8709
2.32E-04,1.63572E+18,Gaia DR2 2014636671699483520,2.01464E+18,1229392626,2015.5,343.5639264,0.138717551,60.81830519,0.144973388,0.16266652,0.171850052,0.9465608,-3.129268316,0.296578804,-1.579426753,0.274059957,0.1606291,0.18099473,-0.24986036,-0.112446114,0.20411418,-0.2111719,-0.027545508,-0.18227293,0.25699836,0.10515265,271,0,271,0,0.85938025,285.61853,0,0,31,FALSE,0.4039564,1.390777767,0.040271002,-0.020622242,31,18,0.27462617,0,35,FALSE,288,575.9108129,1.20117686,479.45547,18.787477,28,163.2273369,7.309394545,22.331171,19.819407,25,754.9288037,10.02267894,75.32206,17.567156,1.594268,0,2.2522507,1.031929,1.2203217,,,0,,,,NOT_AVAILABLE,109.1264239,1.126863757,25.26550484,58.86042766,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636671699483520,,100,343.5644,60.81833
