dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,i20160903_oid,col1,col2
4.49E-04,1.64E+18,Gaia DR2 2014636740418934912,2.01E+18,1384990902,2015.5,343.5524695,0.517085726,60.82780529,0.364975019,-1.225504803,0.472972192,-2.5910716,0.698333855,0.894699199,-2.634494813,0.740898733,-0.08221266,0.44604707,-0.64125955,0.09161531,-0.1711467,4.43E-04,-0.5767556,-0.39272106,0.3424584,0.05758721,135,0,134,1,9.045974,334.42062,1.633179215,5.885971279,31,FALSE,0.13630423,1.360538727,0.106638002,-0.09810705,16,13,0.8828817,0,21,FALSE,135,412.6605271,2.807727184,146.97316,19.149384,0,,,,,0,,,,,,2,,,,,,0,,,,NOT_AVAILABLE,109.1255349,1.137848215,25.27177116,58.87096098,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636740418934912,,97,343.5526,60.82825
2.54E-05,1.64E+18,Gaia DR2 2014636736124936320,2.01E+18,1156798813,2015.5,343.5525707,0.047190976,60.82822898,0.054746289,0.262103657,0.060226667,4.3519535,-3.645956689,0.099591145,-2.152198132,0.100830536,0.016101355,0.063603,-0.27419937,-0.132192,0.102575466,-0.12476488,0.084587626,-0.20160978,0.03215214,0.1162815,245,0,244,1,21.021652,1054.3612,0.493048715,30.48366472,31,FALSE,3.3456378,1.272861135,0.014018873,0.13995653,28,16,0.10083825,0,36,FALSE,271,16404.31763,8.989373994,1824.8566,15.15097,16,2115.648737,12.38130217,170.8745,17.037779,19,24623.35109,162.1576218,151.84825,13.783552,1.6299977,0,3.2542267,1.8868084,1.3674183,-97.40945681,4.967567683,2,5500,3.5,-1.5,NOT_AVAILABLE,109.1257639,1.138208075,25.27244036,58.8712105,100001,4344.1064,3631.78,4843.5166,2.795,2.751,2.8541,1.419,1.3999,1.441,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636736124936320,,97,343.5526,60.82825
2.46E-05,1.64E+18,Gaia DR2 2014636671703245824,2.01E+18,1411494866,2015.5,343.5594845,0.047520377,60.82742654,0.045290222,0.201601066,0.0571116,3.5299494,-2.550926427,0.108842632,-1.634268933,0.094706957,0.17600252,0.090963736,-0.19798021,-0.12155358,0.15924516,-0.18345329,-0.19006883,-0.010861916,0.32340193,0.36082998,245,0,245,0,5.121409,369.70874,0.28670845,4.70404448,31,FALSE,4.133937,1.340894419,0.012506576,0.063829035,28,17,0.11475826,0,32,FALSE,268,5436.034745,4.319868683,1258.3796,16.35016,23,1335.939033,12.29768733,108.633354,17.536922,23,6645.200467,44.47484216,149.41483,15.205649,1.4681914,1,2.331273,1.1867619,1.1445112,,,0,,,,NOT_AVAILABLE,109.1284483,1.136017542,25.27569416,58.86818206,100002,3674.64,3392,4266.945,2.2435,2.16,2.337,1.121,1.0886,1.16,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636671703245824,,98,343.5595,60.82745
1.67E-05,1.64E+18,Gaia DR2 2014636637343504128,2.01E+18,73411731,2015.5,343.5418792,0.023665635,60.82746677,0.025011427,0.330875746,0.029026862,11.39895,-2.854746662,0.048957637,-1.58832236,0.046549372,0.027850691,0.14833665,-0.3258022,-0.06829554,0.21150893,-0.12672216,-0.14424758,-0.18648815,0.1643826,0.052632853,305,0,305,0,7.4567046,521.263,0.21049385,6.987776479,31,FALSE,11.606213,1.36741955,0.006578274,0.051300887,35,19,0.054562073,0,38,FALSE,332,19343.8887,29.16715021,663.20807,14.972006,30,4902.552958,53.23127448,92.099106,16.125332,30,23197.36934,115.2592755,201.2625,13.848323,1.4526511,0,2.277009,1.153326,1.123683,,,0,,,,NOT_AVAILABLE,109.1207403,1.139793149,25.26454918,58.87454202,100001,3539,3451,4127.5,2.086,2.0286,2.2561,1.0305,0.9984,1.1374,200111,10.653193,7.831894,11.203431,16.038975,12.597048,19.480902,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636637343504128,,99,343.5419,60.82748
2.71E-05,1.64E+18,Gaia DR2 2014636190666935040,2.01E+18,1613344188,2015.5,343.6882477,0.040173587,60.82788607,0.044004181,0.347469843,0.051309185,6.7720785,-3.610016557,0.083136966,-3.726785489,0.080264962,-0.03218988,0.15628418,-0.28459653,0.01291758,0.16759764,-0.04416106,-0.11287885,-0.23833136,0.16125584,-0.014983384,298,0,297,1,28.91506,1694.2024,0.482190809,52.01001237,31,FALSE,3.933612,1.252322509,0.011850057,0.07783263,34,19,0.082031585,0,37,FALSE,324,42923.0335,14.17446937,3028.1934,14.10664,32,4980.989051,28.63443803,173.951,16.108099,32,64078.3559,286.7277003,223.48157,12.745142,1.6089112,1,3.362957,2.0014591,1.3614979,,,0,,,,NOT_AVAILABLE,109.185181,1.109144337,25.3582574,58.82219257,100002,4238.63,3769.78,4547.9165,2.7237,2.6767,2.794,1.413,1.387,1.43,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636190666935040,,100,343.6882,60.8279
1.29E-04,1.64E+18,Gaia DR2 2014636706062989440,2.01E+18,21189551,2015.5,343.5869974,0.02010507,60.82898687,0.019527941,0.230537399,0.023328994,9.882012,-2.662033829,0.039814064,-1.793590711,0.035892265,0.098495476,0.26109275,-0.42966858,-0.07126144,0.23732,-0.15993628,-0.17197923,-0.2619458,0.1433613,0.069898136,287,0,287,0,2.227961,337.53723,0.093297123,1.466191563,31,FALSE,21.899113,1.407917491,0.005362804,0.08601998,33,19,0.048154738,0,38,FALSE,314,21293.97125,7.438078446,2862.8323,14.867724,28,6541.984344,49.78582629,131.40254,15.812115,28,24688.34428,160.1877423,154.1213,13.78069,1.4666277,0,2.0314245,0.9443903,1.0870342,,,0,,,,NOT_AVAILABLE,109.1412026,1.131582621,25.29542541,58.85933973,102001,3817.3198,3591,4183.51,,,,,,,200111,12.486582,10.396307,14.110092,29.827444,21.997063,37.657825,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636706062989440,,101,343.5872,60.82907
3.49E-04,1.64E+18,Gaia DR2 2014636706059215360,2.01E+18,935216061,2015.5,343.5878965,0.07861396,60.82915081,0.085489856,0.713406246,0.098226371,7.262879,-3.201384805,0.191788997,-0.174895092,0.178191859,-0.026272746,0.19938347,-0.10245102,-0.05247732,0.17562933,-0.09855037,-0.014871036,0.028636772,0.17179619,-0.014355391,262,0,260,2,19.050793,970.9138,0.719553856,18.41838432,31,FALSE,1.1967154,1.416283448,0.023714532,0.0777169,30,16,0.17359388,0,36,FALSE,286,3201.964857,6.595291644,485.49252,16.924824,0,,,,,0,,,,,,0,,,,,,0,,,,NOT_AVAILABLE,109.1416687,1.131539459,25.29623136,58.859127,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636706059215360,,101,343.5872,60.82907
2.83E-05,1.64E+18,Gaia DR2 2014636087587715712,2.01E+18,274594675,2015.5,343.663443,0.033091528,60.8283154,0.036322587,0.833072037,0.041413147,20.116125,-2.89713666,0.067930859,-0.141464882,0.067206354,-0.05552418,0.1747899,-0.25250706,-0.06920719,0.16298203,-0.104186244,0.028750682,-0.19115518,0.058168095,-0.04267167,286,0,286,0,14.107143,764.35077,0.34815826,17.91515302,31,FALSE,5.967801,1.313600187,0.00926387,0.100333095,33,18,0.069549404,0,38,FALSE,311,17520.3939,5.60554098,3125.549,15.079506,35,3242.139957,14.00655911,231.47298,16.574308,34,22892.60051,38.7359522,590.991,13.862682,1.4916754,1,2.711626,1.4948025,1.2168236,,,0,,,,NOT_AVAILABLE,109.1744731,1.114779027,25.34309409,58.83139914,100002,3982.49,3560,4810.8423,2.821,2.7325,2.8981,1.419,1.3724,1.4721,200111,2.723321,1.8662335,3.4080677,1.680781,1.4914352,1.8701268,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636087587715712,,102,343.6635,60.82831
3.40E-05,1.64E+18,Gaia DR2 2014636706062987520,2.01E+18,628999176,2015.5,343.5852437,0.015936992,60.83108995,0.016311243,0.300743776,0.01912923,15.721687,-2.83996933,0.032127405,-1.67819762,0.029980372,0.054004062,0.2054913,-0.38847375,-0.049723253,0.22935814,-0.12750523,-0.17946516,-0.22630046,0.16650054,0.050889954,296,0,296,0,8.303341,539.78754,0.142617709,5.946036302,31,TRUE,34.938744,1.369216949,0.004573869,0.06419955,34,19,0.04073415,0,38,FALSE,323,100871.4103,147.1612029,685.44836,13.178946,34,25992.54248,163.543291,158.93372,14.314266,34,116722.5228,546.5551733,213.56036,12.094033,1.4148217,0,2.220233,1.1353207,1.0849123,,,0,,,,NOT_AVAILABLE,109.1413485,1.133848061,25.29731059,58.86138988,100001,4075.45,3516.6667,4937.84,1.7335,1.433,1.9521,0.8477,0.7387,0.9908,200111,16.79811,11.442937,22.560518,70.13224,57.8364,82.428085,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636706062987520,,103,343.5853,60.83111
4.94E-05,1.64E+18,Gaia DR2 2014636701765192576,2.01E+18,1267705831,2015.5,343.5923992,0.080907914,60.82896531,0.101235399,0.044844144,0.099385307,0.45121503,-2.799148847,0.167607399,-1.736820787,0.185955916,-0.028817462,0.13978772,-0.32736322,-0.006721399,0.15084633,-0.06529679,-0.4085819,-0.1559725,0.10133988,0.068250485,287,0,285,2,2.318794,337.77924,0.366255806,1.765552533,31,FALSE,1.021107,1.354380367,0.024853398,0.022002205,33,18,0.17657204,0,37,FALSE,299,1384.230282,1.458450319,949.11035,17.835344,23,376.1210183,8.723294174,43.116856,18.913069,24,1676.460703,8.181585249,204.90659,16.700937,1.4828326,0,2.2121315,1.0777245,1.134407,,,0,,,,NOT_AVAILABLE,109.1435642,1.13041729,25.29883118,58.85738249,,,,,,,,,,,,,,,,,,http://geadata.esac.esa.int/data-server/datalink/links?ID=2014636701765192576,,104,343.5925,60.82896
