414.839	21.09
838.553	38.379
168.876	55.868
465.665	62.477
126.466	67.015
597.301	70.414
853.09	81.019
923.663	82.431
228.792	83.518
791.991	100.396
490.497	120.874
782.562	138.703
399.833	166.551
941.132	169.648
330.04	182.433
642.801	186.96
843.507	188.388
1039.29	190.449
357.807	203.571
356.175	219.49
179.045	225.582
405.338	228.44
320.468	230.938
346.093	230.582
540.559	241.008
464.43	242.891
888.433	252.146
932.544	255.081
270.371	256.877
814.992	267.126
302.908	274.649
440.978	280.386
552.572	283.701
489.206	288.218
390.812	289.566
722.009	304.071
851.515	310.46
684.543	314.68
376.361	331.415
375.554	361.451
587.953	364.75
275.045	367.681
639.901	369.467
928.242	376.939
893.276	381.532
651.902	382.582
773.565	384.622
77.442	389.254
779.875	390.964
1031.96	392.806
294.237	394.705
440.558	398.615
521.846	400.125
238.288	403.594
145.359	408.167
728.139	408.746
639.807	413.225
393.296	417.264
684.005	417.45
626.536	421.817
394.232	426.44
28.111	427.735
379.335	427.501
459.421	427.532
163.297	434.301
478.717	436.361
753.437	452.231
723.49	452.765
402.755	455.7
717.845	460.065
500.844	468.199
907.39	469.823
435.693	471.627
694.684	489.858
331.969	492.027
447.322	499.014
453.756	500.651
513.093	506.717
660.167	521.973
386.082	522.583
673.26	525.107
670.238	525.58
586.716	528.103
136.517	534.323
451.034	536.959
472.092	546.515
632.788	546.975
491.935	551.537
755.425	555.41
751.991	555.711
354.85	557.445
467.049	563.676
201.707	572.871
529.181	576.895
772.242	584.652
432.518	587.016
276.199	589.501
471.353	600.597
825.795	610.003
970.124	610.922
229.809	614.579
494.962	641.122
323.322	647.197
530.803	653.555
396.798	684.617
387.426	688.391
535.372	689.519
247.113	700.124
496.92	709.845
996.426	733.481
830.723	734.605
879.876	735.66
658.924	743.575
404.88	765.565
741.237	771.759
329.174	799.404
126.69	823.494
975.652	832.308
370.133	858.835
1001.345	869.531
670.382	894.112
934.631	903.596
74.104	914.241
698.706	953.789
776.418	954.42
242.002	972.004
737.984	179.655
1028.202	216.737
1028.177	238.681
346.523	552.871
496.146	664.415
1045.26	949.143
12.407	481.585
1032.134	945.255
